Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EI9,7.70% National Bank For Agriculture and Rural Development (30/09/2027) **,24494.26,0.8565364335668161,0.0663,ICRA AAA,24000.0,2027-09-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE041007167,7.21% Embassy Office Parks REIT (17/03/2028),22869.86,0.799733285729183,0.0707,CRISIL AAA,22700.0,2028-03-17
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE774D07VF8,8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) **,22643.9,0.7918314368028929,0.07265,CRISIL AAA,22000.0,2029-05-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07SY5,7.93% Bajaj Finance Limited (02/05/2034) **,21125.31,0.738728254093451,0.07435,CRISIL AAA,20500.0,2034-05-02
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE976I07CY9,8.098% Tata Capital Limited (23/09/2027) **,20427.64,0.7143314706838549,0.07,ICRA AAA,20000.0,2027-09-23
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KD0,7.75% Small Industries Development Bank of India (27/10/2025),20069.9,0.7018217074257179,0.061,ICRA AAA,2000.0,2025-10-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE831R07557,7.8989% Aditya Birla Housing Finance Limited (08/06/2027) **,19247.0,0.6730458249828251,0.07105,ICRA AAA,19000.0,2027-06-08
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE377Y07508,7.89% Bajaj Housing Finance Limited (14/07/2034),19172.92,0.670455296185581,0.0732,CRISIL AAA,18500.0,2034-07-14
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QT1,7.865% LIC Housing Finance Limited (20/08/2026) **,18217.6,0.637048940993337,0.06625,CRISIL AAA,18000.0,2026-08-20
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F08486,7.17% Indian Railway Finance Corporation Limited (27/04/2035),18217.35,0.637040128838305,0.07,ICRA AAA,18000.0,2035-04-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KX8,7.49% Small Industries Development Bank of India (11/06/2029) **,17923.22,0.6267547353482971,0.067487,CRISIL AAA,17500.0,2029-06-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE306N07NP4,7.97% Tata Capital Limited (19/07/2028) **,17902.19,0.626019165185232,0.070799,ICRA AAA,1750.0,2028-07-19
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NO0,7.44% Power Finance Corporation Limited (15/01/2030) **,17901.89,0.626008761946652,0.06815,ICRA AAA,17500.0,2030-01-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NL6,7.42% Power Finance Corporation Limited (15/04/2028) **,17805.36,0.6226332170053319,0.0668,ICRA AAA,17500.0,2028-04-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE507T07062,6.59% Summit Digitel Infrastructure Private Limited (16/06/2026) **,17533.51,0.613127104764855,0.06515,CRISIL AAA,1750.0,2026-06-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE511C07870,7.60% Poonawalla Fincorp Limited (28/05/2027) **,17521.63,0.612711587176901,0.075007,CRISIL AAA,17500.0,2027-05-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07SI8,7.90% Bajaj Finance Limited (13/04/2028) **,16299.44,0.569972984961711,0.0709,CRISIL AAA,1600.0,2028-04-13
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE557F08GD6,7.35% National Housing Bank (02/01/2032) **,15389.18,0.5381420472634729,0.0683,IND AAA,15000.0,2032-01-02
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE507T07096,8.05% Summit Digitel Infrastructure Private Limited (31/05/2027) **,15336.18,0.536288872041622,0.0691,CRISIL AAA,1500.0,2027-05-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EL3,7.40% National Bank For Agriculture and Rural Development (29/04/2030),15326.75,0.53595894076097,0.06835,ICRA AAA,15000.0,2030-04-29
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE976I07CT9,8.285% Tata Capital Limited (10/05/2027) **,15306.35,0.53524557582983,0.0699,ICRA AAA,15000.0,2027-05-10
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EM1,7.53% National Bank For Agriculture and Rural Development (24/03/2028),15296.69,0.534907776553614,0.066658,ICRA AAA,15000.0,2028-03-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE514E08GD0,7.14% Export Import Bank of India (13/12/2029) **,15276.89,0.534215392943978,0.06625,ICRA AAA,15000.0,2029-12-13
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE774D07VG6,8.01% Mahindra & Mahindra Financial Services Limited (24/12/2027) **,15257.34,0.533531926395981,0.07175,ICRA AAA,15000.0,2027-12-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07RA9,7.69% LIC Housing Finance Limited (11/12/2026),15188.37,0.531120123489083,0.0665,CRISIL AAA,15000.0,2026-12-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE128M08094,7.55% L&T Metro Rail Hyderabad Ltd (28/04/2035),15018.98,0.525196571895434,0.07525,CRISIL AAA(CE),15000.0,2035-04-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F08528,6.58% Indian Railway Finance Corporation Limited (30/05/2030) **,14906.63,0.5212678194437891,0.067375,ICRA AAA,15000.0,2030-05-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07PF2,6.01% LIC Housing Finance Limited (19/05/2026) **,14435.23,0.504783616906431,0.0652,CRISIL AAA,1450.0,2026-05-19
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE062A08447,7.42% State Bank of India (29/08/2039) **,13628.02,0.47655646595860895,0.073077,ICRA AAA,135.0,2039-08-29
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE756I07EL8,8.04% HDB Financial Services Limited (25/02/2026) **,13579.81,0.47487066922905696,0.0673,CRISIL AAA,1350.0,2026-02-25
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EN9,7.37% National Bank For Agriculture and Rural Development (28/05/2035) **,12785.41,0.447091417042044,0.07035,IND AAA,12500.0,2035-05-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE514E08GE8,7.35% Export Import Bank of India (27/07/2028),12777.44,0.446812540310385,0.06505,ICRA AAA,12500.0,2028-07-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE031A08954,7.19% Housing & Urban Development Corporation Limited (27/03/2035) **,12610.59,0.440977984488783,0.070525,ICRA AAA,12500.0,2035-03-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NU7,6.59% Power Finance Corporation Limited (15/10/2030),12373.28,0.43267943472304105,0.0683,ICRA AAA,12500.0,2030-10-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KR0,7.47% Small Industries Development Bank of India (05/09/2029) **,12296.32,0.429988265520315,0.067538,CRISIL AAA,12000.0,2029-09-05
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE306N07NN9,7.99% Tata Capital Limited (08/02/2034) **,11343.45,0.396667723933023,0.0747,ICRA AAA,11000.0,2034-02-08
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08FD6,7.58% REC Limited (31/05/2029) **,11303.39,0.395266801096194,0.067288,ICRA AAA,11000.0,2029-05-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE040A08427,7.86% HDFC Bank Limited (02/12/2032) **,11030.53,0.385725146497089,0.071194,CRISIL AAA,106.0,2032-12-02
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE202E08193,7.59% Indian Renewable Energy Development Agency Ltd (26/07/2034) **,10364.51,0.362435194237686,0.07025,ICRA AAA,10000.0,2034-07-26
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07SU3,7.87% Bajaj Finance Limited (08/02/2034) **,10260.54,0.35879948090971403,0.07435,CRISIL AAA,10000.0,2034-02-08
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE040A08955,7.70% HDFC Bank Limited (16/05/2028) **,10200.15,0.356687710900325,0.0687,ICRA AAA,10000.0,2028-05-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE514E08GF5,7.12% Export Import Bank of India (27/06/2030),10166.64,0.35551590409432,0.06705,ICRA AAA,10000.0,2030-06-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE306N07MX0,7.89% Tata Capital Limited (26/07/2027),10159.25,0.355257484151128,0.07,ICRA AAA,1000.0,2027-07-26
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE160A08324,7.34% Punjab National Bank (14/02/2035) **,10149.24,0.354907445770701,0.0711,CRISIL AAA,10000.0,2035-02-14
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NJ0,7.24% Power Finance Corporation Limited (15/01/2035) **,10136.21,0.35445180140537,0.0703,ICRA AAA,10000.0,2035-01-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE891K07AF9,7.732% Axis Finance Limited (12/06/2028) **,10132.64,0.354326962542421,0.0719,CRISIL AAA,10000.0,2028-06-12
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0NDH07043,7.6937% Nexus Select Trust (28/05/2027) **,10112.36,0.353617793875582,0.07055,ICRA AAA,10000.0,2027-05-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07TH8,7.55% Bajaj Finance Limited (03/04/2035),10068.04,0.352067973593811,0.0744,ICRA AAA,10000.0,2035-04-03
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NR3,6.64% Power Finance Corporation Limited (15/07/2030) **,9920.92,0.34692335356100196,0.0683,ICRA AAA,10000.0,2030-07-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0KUG08092,6.67% National Bank for Financing Infrastructure and Dev (30/05/2030) **,9906.05,0.346403366476392,0.068975,ICRA AAA,10000.0,2030-05-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F07CQ9,6.73% Indian Railway Finance Corporation Limited (06/07/2035) **,9808.6,0.342995650175432,0.07,ICRA AAA,1000.0,2035-07-06
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE790Z07053,7.162304% IndInfravit Trust (31/03/2040) **,9506.16,0.332419665382591,0.0686,ICRA AAA,10000.0,2040-03-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07TJ4,7.3763% Bajaj Finance Limited (26/06/2028) **,9055.88,0.316673917940006,0.0709,CRISIL AAA,9000.0,2028-06-26
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE01XX07034,7.96% Pipeline Infrastructure Limited (11/03/2029) **,8535.81,0.29848749729213303,0.06765,CRISIL AAA,8200.0,2029-03-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE071G07843,7.19% ICICI Home Finance Company Limited (22/08/2028) **,8528.14,0.298219534344543,0.070687,CRISIL AAA,8500.0,2028-08-22
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QW5,7.74% LIC Housing Finance Limited (11/02/2028) **,8160.91,0.285377864064646,0.0682,CRISIL AAA,8000.0,2028-02-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08DV3,6.92% REC Limited (20/03/2032) **,7983.27,0.27916599414466103,0.0695,ICRA AAA,800.0,2032-03-20
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0CCU07082,7.75% Mindspace Business Parks REIT (30/06/2026) **,7875.24,0.275388195307464,0.06815,ICRA AAA,7800.0,2026-06-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NM4,7.38% Power Finance Corporation Limited (15/01/2032) **,7650.22,0.26751945490650697,0.06975,ICRA AAA,7500.0,2032-01-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE667F07IW1,7.65% Sundaram Home Finance Limited (29/10/2029) **,7644.44,0.26731750968703,0.07095,ICRA AAA,7500.0,2029-10-29
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EK5,7.44% National Bank For Agriculture and Rural Development (24/02/2028),7629.59,0.266797959713284,0.0666,ICRA AAA,7500.0,2028-02-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE031A08939,7.29% Housing & Urban Development Corporation Limited (12/02/2035) **,7616.08,0.26632561771292296,0.070525,ICRA AAA,7500.0,2035-02-12
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE831R07474,8.0956% Aditya Birla Housing Finance Limited (22/12/2026) **,7606.73,0.26599857136397803,0.069375,ICRA AAA,7500.0,2026-12-22
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE481G08107,7.22% UltraTech Cement Limited (24/11/2034) **,7579.74,0.26505493642933,0.070525,IND AAA,7500.0,2034-11-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE018A08BM2,7.20% Larsen & Toubro Limited (22/01/2035),7561.12,0.264403728663146,0.0707,CRISIL AAA,7500.0,2035-01-22
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07TL0,7.38% Bajaj Finance Limited (28/06/2030) **,7537.85,0.26358991565530504,0.0723,CRISIL AAA,7500.0,2030-06-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE733E08270,6.84% NTPC Limited (09/05/2035) **,7478.76,0.261523780020188,0.06875,ICRA AAA,7500.0,2035-05-09
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QR5,7.68% LIC Housing Finance Limited (29/05/2034) **,7166.0,0.250586846559738,0.073,CRISIL AAA,7000.0,2034-05-29
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE667F07IT7,7.98% Sundaram Home Finance Limited (04/09/2026) **,6828.73,0.23879303592905998,0.06815,ICRA AAA,6750.0,2026-09-04
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE667F07IK6,8.31% Sundaram Home Finance Limited (20/03/2026) **,6563.27,0.229510164949387,0.0651,ICRA AAA,6500.0,2026-03-20
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE219X07306,6.72% India Grid Trust (14/09/2026) **,6494.7,0.227112402043462,0.0697,ICRA AAA,650.0,2026-09-14
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE031A08624,8.52% Housing & Urban Development Corporation Limited (28/11/2028) **,6350.41,0.222066516612765,0.066393,ICRA AAA,600.0,2028-11-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0CCU07074,8.02% Mindspace Business Parks REIT (13/04/2026) **,6055.66,0.21175944242386802,0.06814999999999999,ICRA AAA,6000.0,2026-04-13
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0NDH07019,7.86% Nexus Select Trust (16/06/2026) **,6033.56,0.21098670035287198,0.064881,ICRA AAA,6000.0,2026-06-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE860H07IY4,8.33% Aditya Birla Finance Limited (19/05/2027) **,5595.55,0.195670108357218,0.072449,ICRA AAA,5500.0,2027-05-19
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07017,8.46% DME Development Limited (16/03/2037) (FRN) **,5520.24,0.19303668324815898,0.090919,CRISIL AAA,515.0,2037-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07108,8.46% DME Development Limited (16/03/2036) (FRN) **,5478.25,0.19156805193839202,0.090626,CRISIL AAA,515.0,2036-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07082,8.46% DME Development Limited (16/03/2034) (FRN) **,5454.59,0.190740719965729,0.088829,CRISIL AAA,515.0,2034-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07090,8.46% DME Development Limited (16/03/2035) (FRN) **,5450.51,0.19059826903182,0.089657,CRISIL AAA,515.0,2035-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07074,8.46% DME Development Limited (16/03/2033) (FRN) **,5444.59,0.190390985814464,0.088292,CARE AAA,515.0,2033-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07066,8.46% DME Development Limited (16/03/2032) (FRN) **,5435.33,0.190067184576578,0.08595449999999999,CRISIL AAA,515.0,2032-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07058,8.46% DME Development Limited (15/03/2031) (FRN) **,5427.56,0.189795789434479,0.084051,CRISIL AAA,515.0,2031-03-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07025,8.46% DME Development Limited (16/03/2028) (FRN) **,5408.63,0.189133779784607,0.070832,CRISIL AAA,515.0,2028-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07033,8.46% DME Development Limited (16/03/2029) (FRN) **,5408.39,0.189125315569824,0.077742,CRISIL AAA,515.0,2029-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE0J7Q07041,8.46% DME Development Limited (16/03/2030) (FRN) **,5407.98,0.1891110884854,0.08183599999999999,CRISIL AAA,515.0,2030-03-16
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08BC7,8.70% REC Limited (28/09/2028) **,5299.81,0.185328362534537,0.066695,CRISIL AAA,500.0,2028-09-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE01XX07042,7.96% Pipeline Infrastructure Limited (11/03/2028) **,5149.51,0.18007254149775598,0.06745,CRISIL AAA,5000.0,2028-03-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F07BW9,7.50% Indian Railway Finance Corporation Limited (09/09/2029) **,5148.03,0.180020612727033,0.0665,CRISIL AAA,500.0,2029-09-09
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE831R07482,8.049% Aditya Birla Housing Finance Limited (03/12/2027) **,5095.5,0.178183698029348,0.07105,ICRA AAA,5000.0,2027-12-03
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE916DA7SO7,8.225% Kotak Mahindra Prime Limited (21/04/2027) **,5093.37,0.178109214338008,0.07,ICRA AAA,5000.0,2027-04-21
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KT6,7.44% Small Industries Development Bank of India (10/04/2028) **,5093.13,0.178100996653752,0.066645,CRISIL AAA,5000.0,2028-04-10
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE507T07112,8.19% Summit Digitel Infrastructure Private Limited (01/11/2026) **,5091.61,0.178047843972609,0.068202,CRISIL AAA,5000.0,2026-11-01
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE916DA7SP4,8.23% Kotak Mahindra Prime Limited (21/12/2026) **,5088.94,0.17795430224757,0.06795,CRISIL AAA,5000.0,2026-12-21
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08MK0,7.70% Power Finance Corporation Limited (15/09/2026) **,5064.81,0.17711067827875798,0.064688,ICRA AAA,5000.0,2026-09-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE752E08767,7.08% Power Grid Corporation of India Limited (25/10/2034) **,5062.93,0.177044761960366,0.06885,ICRA AAA,5000.0,2034-10-25
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE267A08020,7.75% Hindustan Zinc Limited (21/03/2026) **,5026.6,0.175774342943292,0.066874,CRISIL AAA,5000.0,2026-03-21
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08GA0,7.06% REC Limited (30/06/2035),5012.71,0.17528880019481802,0.0702,ICRA AAA,5000.0,2035-06-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE282H07018,7.19% Jio Credit Ltd (15/03/2028) **,5010.03,0.17519490878108698,0.071,CRISIL AAA,5000.0,2028-03-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F08494,6.78% Indian Railway Finance Corporation Limited (30/04/2030) **,5006.96,0.17508772919707,0.067375,ICRA AAA,5000.0,2030-04-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE733E08288,6.89% NTPC Limited (18/06/2035) **,5004.05,0.174985794943429,0.06875,ICRA AAA,5000.0,2035-06-18
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08FY2,6.70% REC Limited (31/12/2029) **,4996.04,0.174705694301349,0.067287,ICRA AAA,5000.0,2029-12-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NS1,6.61% Power Finance Corporation Limited (15/07/2028) **,4989.03,0.174460737372789,0.0669,ICRA AAA,5000.0,2028-07-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08FS4,7.02% REC Limited (30/04/2040) **,4987.85,0.174419474107164,0.0704,ICRA AAA,5000.0,2040-04-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE667F07IV3,7.90% Sundaram Home Finance Limited (24/09/2027) **,4575.53,0.160001040031798,0.070138,ICRA AAA,4500.0,2027-09-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE028A08364,7.41% Bank of Baroda (28/11/2039) **,4549.45,0.15908898198601398,0.072774,CRISIL AAA,45.0,2039-11-28
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE377Y07359,7.89% Bajaj Housing Finance Limited (08/09/2032) **,4136.2,0.144638236675532,0.07255,CRISIL AAA,400.0,2032-09-08
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08MQ7,7.57% Power Finance Corporation Limited (12/07/2033) **,4134.92,0.144593336647513,0.07,ICRA AAA,4000.0,2033-07-12
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE507T07146,7.87% Summit Digitel Infrastructure Private Limited (15/03/2030) **,3854.57,0.134789910339106,0.07335,ICRA AAA,3750.0,2030-03-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE976I07CX1,8.01% Tata Capital Limited (21/07/2034) **,3620.22,0.12659492962163799,0.0747,ICRA AAA,3500.0,2034-07-21
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE733E08262,7.26% NTPC Limited (20/03/2040) **,3583.32,0.125304683255743,0.069887,ICRA AAA,3500.0,2040-03-20
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08BE4,8.62% National Bank For Agriculture and Rural Development (14/03/2034) **,3300.61,0.115418669220565,0.0702,CRISIL AAA,300.0,2034-03-14
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE377Y07367,7.84% Bajaj Housing Finance Limited (23/09/2032) **,3094.22,0.10820130443636401,0.07255,CRISIL AAA,300.0,2032-09-23
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08MC7,7.77% Power Finance Corporation Limited (15/07/2026),3035.06,0.106132546136059,0.0646,ICRA AAA,3000.0,2026-07-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EJ7,7.64% National Bank For Agriculture and Rural Development (06/12/2029) **,2578.2,0.090156825925354,0.0677,ICRA AAA,2500.0,2029-12-06
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EG3,7.68% National Bank For Agriculture and Rural Development (30/04/2029),2571.92,0.08993713400477099,0.0677,CRISIL AAA,2500.0,2029-04-30
