Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Coupon,Maturity Date
,,INE031A08962,Housing and Urban Development Corporation Ltd.^,24949.33,0.69,6.93,CARE - AAA,25000.0,6.9,
,,INE053F07AY7,Indian Railways Finance Corp. Ltd.^,24807.68,0.69,6.535,CRISIL - AAA,2350.0,8.45,
,,INE00V208124,John Deere Financial India Pvt. Ltd.^,24469.27,0.68,7.4,CRISIL - AAA,24000.0,8.23,
,,INE975F07IR8,Kotak Mahindra Investments Ltd.^,24008.87,0.67,7.095,CRISIL - AAA,23500.0,8.3774,
,,INE752E08676,Power Grid Corporation of India Ltd.^,23773.74,0.66,6.865,CRISIL - AAA,30000.0,7.4,
,,INE033L07HU0,TATA Capital Housing Finance Ltd.^,22380.07,0.62,6.85,CRISIL - AAA,2200.0,7.8,
,,INE01XX07042,Pipeline Infrastructure Pvt. Ltd.^,21112.99,0.59,6.745,CRISIL - AAA,20500.0,7.96,
,,INE556F08KW0,Small Industries Development Bank^,20406.42,0.57,6.75,CRISIL - AAA,20000.0,7.42,
,,INE053F08486,Indian Railways Finance Corp. Ltd.,20241.5,0.56,7.0,CRISIL - AAA,20000.0,7.17,
,,INE0KUG08050,National Bank for Financing Infrastructure and Development^,20102.36,0.56,7.185,CRISIL - AAA,20000.0,7.25,
,,INE357L07432,Nomura Capital India Pvt. Ltd.^,20176.8,0.56,7.19,IND - AAA,20000.0,8.17,
,,INE020B08DA7,REC Limited.^,20011.48,0.56,6.895,CRISIL - AAA,2000.0,6.9,
,,INE377Y07508,Bajaj Housing Finance Ltd.,18136.55,0.5,7.32,CRISIL - AAA,17500.0,7.89,
,,INE0J7Q07249,DME Development Limited^,18097.36,0.5,7.28,CRISIL - AAA,17500.0,7.55,
,,INE031A08970,Housing and Urban Development Corporation Ltd.^,17570.74,0.49,6.79,ICRA - AAA,17500.0,6.9,
,,INE053F07BA5,Indian Railways Finance Corp. Ltd.^,15878.31,0.44,6.65,CRISIL - AAA,1500.0,8.55,
,,INE377Y07482,Bajaj Housing Finance Ltd.^,15305.37,0.43,6.93,CRISIL - AAA,15000.0,8.1,
,,INE756I07FG5,HDB Financial Services Ltd.^,15587.37,0.43,7.165,CRISIL - AAA,15500.0,7.4091,
,,INE094A08135,Hindustan Petroleum Corp. Ltd.^,15365.52,0.43,6.425,CRISIL - AAA,1500.0,7.64,
,,INE053F08478,Indian Railways Finance Corp. Ltd.^,15316.44,0.43,7.045,CRISIL - AAA,15000.0,7.28,
,,INE134E08NM4,Power Finance Corporation Ltd.^,15300.44,0.43,6.975,CRISIL - AAA,15000.0,7.38,
,,INE020B08FO3,REC Limited.^,15310.94,0.43,7.04,CRISIL - AAA,15000.0,7.28,
,,INE020B08FA2,REC Limited.^,15267.21,0.42,6.505,CRISIL - AAA,15000.0,7.59,
,,INE040A08401,HDFC Bank Ltd.£^,14814.03,0.41,6.88,CRISIL - AAA,1500.0,6.44,
,,INE020B08BO2,REC Limited.^,14766.33,0.41,6.69,CRISIL - AAA,1400.0,8.3,
,,INE752E08726,Power Grid Corporation of India Ltd.^,13847.01,0.38,6.91,CRISIL - AAA,15000.0,7.65,
,,INE020B08BG8,REC Limited.^,13764.24,0.38,6.67,IND - AAA,1300.0,8.56,
,,INE242A08551,Indian Oil Corporation Ltd.^,12848.4,0.36,6.535,CRISIL - AAA,12500.0,7.36,
,,INE134E08NO0,Power Finance Corporation Ltd.^,12787.06,0.36,6.815,CRISIL - AAA,12500.0,7.44,
,,INE556F08KV2,Small Industries Development Bank^,12793.78,0.36,6.75,CRISIL - AAA,12500.0,7.48,
,,INE261F08EK5,National Bank for Agri & Rural Dev.,12715.98,0.35,6.66,CRISIL - AAA,12500.0,7.44,
,,INE535H07CJ6,SMFG India Credit Company Ltd^,12740.19,0.35,7.2,CARE - AAA,12500.0,8.3,
,,INE692Q07480,Toyota Financial Services India Ltd.^,12704.39,0.35,7.22,ICRA - AAA,12500.0,8.3645,
,,INE752E08692,Power Grid Corporation of India Ltd.^,12340.68,0.34,6.865,CRISIL - AAA,15000.0,7.56,
,,INE752E08718,Power Grid Corporation of India Ltd.^,11562.95,0.32,6.865,CRISIL - AAA,12500.0,7.7,
,,INE040A08435,HDFC Bank Ltd. (Tier 2 - Basel III)£^,10374.21,0.29,7.16,CRISIL - AAA,100.0,7.84,
,,INE094A08150,Hindustan Petroleum Corp. Ltd.^,10293.1,0.29,6.445,CRISIL - AAA,10000.0,7.74,
,,INE906B07HG7,National Highways Authority of India^,10286.79,0.29,6.65,CRISIL - AAA,1000.0,7.49,
,,INE134E08MA1,Power Finance Corporation Ltd.^,10362.73,0.29,6.995,CRISIL - AAA,10000.0,7.64,
,,INE020B08BU9,REC Limited.,10521.56,0.29,6.73,CRISIL - AAA,1000.0,8.3,
,,INE020B08BE3,REC Limited.^,10575.83,0.29,6.67,CRISIL - AAA,1000.0,8.54,
,,INE377Y07516,Bajaj Housing Finance Ltd.,10152.51,0.28,7.32,CRISIL - AAA,10000.0,7.56,
,,INE377Y07540,Bajaj Housing Finance Ltd.,10116.2,0.28,7.32,CRISIL - AAA,10000.0,7.5,
,,INE377Y07532,Bajaj Housing Finance Ltd.^,10160.87,0.28,6.945,CRISIL - AAA,10000.0,7.66,
,,INE031A08947,Housing and Urban Development Corporation Ltd.^,10210.42,0.28,7.055,CARE - AAA,10000.0,7.37,
,,INE242A08544,Indian Oil Corporation Ltd.^,10206.22,0.28,6.43,CRISIL - AAA,1000.0,7.44,
,,INE053F08528,Indian Railways Finance Corp. Ltd.^,9937.75,0.28,6.74,CRISIL - AAA,10000.0,6.58,
,,INE916DA7SE8,Kotak Mahindra Prime Ltd.^,10222.97,0.28,7.045,CRISIL - AAA,10000.0,8.05,
,,INE498L07145,L&T Finance Ltd.^,10021.65,0.28,7.13,CRISIL - AAA,10000.0,7.23,
,,INE115A07RD3,LIC Housing Finance Ltd.^,10228.55,0.28,7.025,CRISIL - AAA,10000.0,7.645,
,,INE261F08AX6,National Bank for Agri & Rural Dev.^,9961.51,0.28,6.67,CRISIL - AAA,950.0,8.18,
,,INE557F08FY4,National Housing Bank^,10196.35,0.28,6.48,CRISIL - AAA,10000.0,7.59,
,,INE357L07473,Nomura Capital India Pvt. Ltd.^,10212.95,0.28,7.925,IND - AAA,10000.0,8.9,
,,INE134E08NR3,Power Finance Corporation Ltd.^,9920.92,0.28,6.83,CRISIL - AAA,10000.0,6.64,
,,INE535H07CK4,SMFG India Credit Company Ltd^,10122.5,0.28,6.98,ICRA - AAA,10000.0,8.28,
,,INE377Y07300,Bajaj Housing Finance Ltd.^,9618.04,0.27,6.92,CRISIL - AAA,950.0,7.7,
,,INE040A08864,HDFC Bank Ltd.£^,9884.84,0.27,7.08,CRISIL - AAA,1000.0,6.83,
,,INE053F08106,Indian Railways Finance Corp. Ltd.^,9429.69,0.26,6.82,CRISIL - AAA,940.0,6.89,
,,INE053F07AZ4,Indian Railways Finance Corp. Ltd.^,8943.68,0.25,6.65,CRISIL - AAA,850.0,8.4,
,,INE01XX07059,Pipeline Infrastructure Pvt. Ltd.^,9168.71,0.25,6.67,CRISIL - AAA,9000.0,7.96,
,,INE692Q07415,Toyota Financial Services India Ltd.^,9078.83,0.25,6.925,ICRA - AAA,9000.0,8.1,
,,INE261F08DY8,National Bank for Agri & Rural Dev.^,8102.98,0.23,7.05,CRISIL - AAA,7700.0,7.7,
,,INE040A08AB1,HDFC Bank Ltd.£^,7935.43,0.22,6.965,CRISIL - AAA,750.0,9.0,
,,INE094A08143,Hindustan Petroleum Corp. Ltd.^,7822.63,0.22,6.8,CRISIL - AAA,750.0,7.54,
,,INE206D08493,Nuclear Power Corporation of India Ltd.^,7823.4,0.22,6.78,ICRA - AAA,750.0,7.55,
,,INE020B08BQ7,REC Limited.^,8002.63,0.22,6.73,CRISIL - AAA,750.0,8.85,
,,INE261F08DU6,National Bank for Agri & Rural Dev.^,7728.84,0.21,7.005,CRISIL - AAA,750.0,7.54,
,,INE906B07HH5,National Highways Authority of India,7255.58,0.2,6.65,CRISIL - AAA,700.0,7.7,
,,INE975F07IP2,Kotak Mahindra Investments Ltd.^,6597.27,0.18,7.09,CRISIL - AAA,6500.0,8.1929,
,,INE033L07IE2,TATA Capital Housing Finance Ltd.^,6105.85,0.17,6.82,CRISIL - AAA,6000.0,8.1,
,,INE296A07TE5,Bajaj Finance Ltd.^,5592.3,0.16,7.435,CRISIL - AAA,5500.0,7.7,
,,INE357L07481,Nomura Capital India Pvt. Ltd.^,5612.84,0.16,7.925,IND - AAA,5500.0,8.85,
,,INE031A08616,Housing and Urban Development Corporation Ltd.^,5300.12,0.15,6.64,CARE - AAA,500.0,8.6,
,,INE261F08AP2,National Bank for Agri & Rural Dev.^,5311.5,0.15,6.67,CRISIL - AAA,500.0,8.77,
,,INE261F08BA2,National Bank for Agri & Rural Dev.^,5273.17,0.15,6.77,CRISIL - AAA,500.0,8.42,
,,INE261F08BH7,National Bank for Agri & Rural Dev.^,5237.62,0.15,6.77,CRISIL - AAA,500.0,8.15,
,,INE377Y07383,Bajaj Housing Finance Ltd.^,5105.33,0.14,6.93,CRISIL - AAA,500.0,7.98,
,,INE094A08176,Hindustan Petroleum Corp. Ltd.^,5020.23,0.14,6.62,CRISIL - AAA,5000.0,6.73,
,,INE090A08UF5,ICICI Bank Ltd.^,4971.33,0.14,6.865,CARE - AAA,500.0,6.67,
,,INE053F08247,Indian Railways Finance Corp. Ltd.^,5194.51,0.14,6.98,CRISIL - AAA,5000.0,7.65,
,,INE053F08353,Indian Railways Finance Corp. Ltd.^,5147.45,0.14,6.65,CRISIL - AAA,5000.0,7.57,
,,INE053F08502,Indian Railways Finance Corp. Ltd.^,4982.42,0.14,6.74,CRISIL - AAA,5000.0,6.65,
,,INE975F07IS6,Kotak Mahindra Investments Ltd.^,5116.44,0.14,7.105,CRISIL - AAA,5000.0,8.3721,
,,INE498L07046,L&T Finance Ltd.^,5098.77,0.14,7.155,CRISIL - AAA,5000.0,8.1629,
,,INE498L07038,L&T Finance Ltd.^,5091.67,0.14,7.145,ICRA - AAA,5000.0,8.24,
,,INE115A07PN6,LIC Housing Finance Ltd.^,4982.27,0.14,6.65,CRISIL - AAA,500.0,6.4,
,,INE261F08ED0,National Bank for Agri & Rural Dev.^,5081.48,0.14,6.54,CRISIL - AAA,5000.0,7.83,
,,INE557F08GC8,National Housing Bank^,5111.66,0.14,6.815,CARE - AAA,5000.0,7.29,
,,INE127K08017,Nomura Fixed Income Securities Pvt.^,5094.56,0.14,7.135,IND - AAA,5000.0,8.25,
,,INE206D08501,Nuclear Power Corporation of India Ltd.^,5129.92,0.14,6.57,ICRA - AAA,5000.0,7.7,
,,INE134E08NN2,Power Finance Corporation Ltd.^,5122.46,0.14,7.03,CRISIL - AAA,5000.0,7.4,
,,INE020B08FU0,REC Limited.,5011.89,0.14,6.8,CARE - AAA,5000.0,6.87,
,,INE556F08KQ2,Small Industries Development Bank^,5104.6,0.14,6.595,CRISIL - AAA,5000.0,7.68,
,,INE062A08389,State Bank of India^,5198.2,0.14,7.065,ICRA - AAA,5000.0,7.54,
,,INE062A08330,State Bank of India^,5171.39,0.14,6.89,ICRA - AAA,500.0,7.51,
,,INE033L07HF1,TATA Capital Housing Finance Ltd.^,4991.12,0.14,6.66,CRISIL - AAA,500.0,6.5,
,,INE692Q07399,Toyota Financial Services India Ltd.^,5024.59,0.14,6.56,CRISIL - AAA,500.0,8.0,
,,INE020B08FB0,REC Limited.^,4524.72,0.13,7.01,CRISIL - AAA,4380.0,7.53,
,,INE692Q07514,Toyota Financial Services India Ltd.^,4618.4,0.13,7.405,CRISIL - AAA,4500.0,8.2,
,,INE906B07GO3,National Highways Authority of India^,4221.42,0.12,6.65,CRISIL - AAA,400.0,8.49,
,,INE053F08395,Indian Railways Finance Corp. Ltd.^,4117.34,0.11,6.98,CRISIL - AAA,4000.0,7.44,
,,INE357L07507,Nomura Capital India Pvt. Ltd.^,4072.04,0.11,7.48,IND - AAA,4000.0,8.45,
,,INE134E08JP5,Power Finance Corporation Ltd.^,4122.5,0.11,6.68,CRISIL - AAA,400.0,7.85,
,,INE134E08LG0,Power Finance Corporation Ltd.^,3996.36,0.11,6.42,CRISIL - AAA,1000.0,6.35,
,,INE134E08ME3,Power Finance Corporation Ltd.^,3128.86,0.09,6.975,CRISIL - AAA,3000.0,7.82,
,,INE134E08MD5,Power Finance Corporation Ltd.^,3139.55,0.09,7.0,CRISIL - AAA,3000.0,7.82,
,,INE134E08MF0,Power Finance Corporation Ltd.^,3114.2,0.09,6.815,CRISIL - AAA,3000.0,7.82,
,,INE134E08MG8,Power Finance Corporation Ltd.^,3123.81,0.09,6.895,CRISIL - AAA,3000.0,7.82,
,,INE020B08BS3,REC Limited.^,3200.22,0.09,6.73,CRISIL - AAA,300.0,8.8,
,,INE848E07AN6,NHPC Ltd.^,2962.86,0.08,6.565,CARE - AAA,500.0,8.65,
,,INE296A07TJ4,Bajaj Finance Ltd.^,2515.52,0.07,7.09,CRISIL - AAA,2500.0,7.3763,
,,INE514E08GF5,Export - Import Bank of India,2541.66,0.07,6.71,CRISIL - AAA,2500.0,7.12,
,,INE031A08855,Housing and Urban Development Corporation Ltd.^,2517.13,0.07,6.0,CARE - AAA,250.0,7.54,
,,INE053F08296,Indian Railways Finance Corp. Ltd.,2641.32,0.07,7.05,CRISIL - AAA,2500.0,7.74,
,,INE053F08452,Indian Railways Finance Corp. Ltd.^,2528.03,0.07,6.98,CRISIL - AAA,2500.0,7.15,
,,INE936D07182,Jamnagar Utilities & Power Pvt. Limited,2569.43,0.07,6.85,CRISIL - AAA,2500.0,7.9,
,,INE115A07NP6,LIC Housing Finance Ltd.^,2638.79,0.07,6.82,CRISIL - AAA,250.0,8.75,
,,INE115A07OB4,LIC Housing Finance Ltd.^,2634.98,0.07,6.95,CRISIL - AAA,250.0,8.7,
,,INE906B07HD4,National Highways Authority of India^,2638.45,0.07,6.65,CRISIL - AAA,250.0,8.36,
,,INE906B07HF9,National Highways Authority of India^,2595.48,0.07,6.65,CRISIL - AAA,250.0,7.8,
,,INE733E07KJ7,NTPC Limited^,2631.49,0.07,6.53,CRISIL - AAA,250.0,8.3,
,,INE733E08239,NTPC Limited^,2592.57,0.07,6.805,CRISIL - AAA,250.0,7.44,
,,INE134E08IE1,Power Finance Corporation Ltd.^,2526.53,0.07,6.42,CRISIL - AAA,250.0,8.03,
,,INE134E08KC1,Power Finance Corporation Ltd.^,2670.47,0.07,6.75,CRISIL - AAA,250.0,8.85,
,,INE134E08IT9,Power Finance Corporation Ltd.^,2542.28,0.07,6.54,CRISIL - AAA,250.0,7.6,
,,INE134E08KV1,Power Finance Corporation Ltd.^,2593.53,0.07,6.815,CRISIL - AAA,250.0,7.75,
,,INE020B08EK4,REC Limited.^,2552.94,0.07,6.63,CRISIL - AAA,2500.0,7.46,
,,INE020B08EC1,REC Limited.^,2576.64,0.07,6.99,CRISIL - AAA,250.0,7.53,
,,INE556F08KT6,Small Industries Development Bank^,2546.57,0.07,6.665,CRISIL - AAA,2500.0,7.44,
,,INE213W07293,SMFG India Home Finance Company Ltd^,2537.17,0.07,7.27,CARE - AAA,2500.0,8.07,
,,INE062A08447,State Bank of India (Tier 2 - Basel III)^,2523.71,0.07,7.305,ICRA - AAA,25.0,7.42,
,,INE062A08348,State Bank of India^,2627.14,0.07,7.065,ICRA - AAA,2500.0,7.7,
,,INE115A07RF8,LIC Housing Finance Ltd.^,1916.99,0.05,7.28,CRISIL - AAA,1880.0,7.58,
,,INE357L07499,Nomura Capital India Pvt. Ltd.^,1522.06,0.04,7.465,IND - AAA,1500.0,8.45,
,,INE020B08BJ2,REC Limited.^,1601.91,0.04,6.69,CRISIL - AAA,150.0,8.8,
,,INE941D07158,Sikka Port and Terminal Ltd.^,1522.87,0.04,6.59,CRISIL - AAA,150.0,7.95,
,,INE848E08250,NHPC Ltd.^,1014.63,0.03,6.53,CARE - AAA,1000.0,7.59,
,,INE848E08243,NHPC Ltd.^,1021.89,0.03,6.61,CARE - AAA,1000.0,7.59,
,,INE848E08235,NHPC Ltd.^,1031.0,0.03,6.565,CARE - AAA,1000.0,7.59,
,,INE848E08227,NHPC Ltd.^,1034.42,0.03,6.675,CARE - AAA,1000.0,7.59,
,,INE848E08219,NHPC Ltd.^,1038.89,0.03,6.715,CARE - AAA,1000.0,7.59,
,,INE848E08193,NHPC Ltd.^,1039.68,0.03,6.89,CARE - AAA,1000.0,7.59,
,,INE556F08KG3,Small Industries Development Bank^,503.06,0.01,6.29,CRISIL - AAA,500.0,7.59,
,,INE296A07RY7,Bajaj Finance Ltd.^,6192.46,0.17,6.5,CRISIL - AAA,500.0,,
,,INE756I07EK0,HDB Financial Services Ltd.^,6229.02,0.17,6.73,CRISIL - AAA,500.0,,
,,INE134E08MS3,Power Finance Corporation Ltd.^,4676.9,0.13,6.47,CRISIL - AAA,5000.0,,
,,INE1CBK15037,India Universal Trust AL2 (PTC backed by loan receivables originated by HDFC Bank Limited) £^,27206.07,0.76,7.825,CRISIL - AAA(SO),276.0,,
,,INE1CBK15029,India Universal Trust AL2 (PTC backed by loan receivables originated by HDFC Bank Limited) £^,14885.85,0.41,7.625,CRISIL - AAA(SO),175.0,,
,,INF0RQ622028,Corporate Debt Market Development Fund,9873.8,0.27,,,87457.788,,
