Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date
Kotak Corporate Bond Fund,KOTAK,INE261F08EH1,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT**,17973.48,1.0100000000000002,6.77,CRISIL AAA,17500.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KN9,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,17851.0,1.0,6.56,CRISIL AAA,17500.0,
Kotak Corporate Bond Fund,KOTAK,INE041007167,EMBASSY OFFICE PARKS REIT,17630.95,0.9900000000000001,7.07,CRISIL AAA,17500.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KL3,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,17047.64,0.9600000000000001,6.66,CRISIL AAA,16500.0,
Kotak Corporate Bond Fund,KOTAK,INE040A08AF2,HDFC BANK LTD.**,16537.06,0.93,7.17,CRISIL AAA,16000.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KR0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,15370.4,0.86,6.75,CRISIL AAA,15000.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KY6,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,15339.57,0.86,6.79,CRISIL AAA,15000.0,
Kotak Corporate Bond Fund,KOTAK,INE860H07IO5,ADITYA BIRLA CAPITAL LTD**,15260.06,0.86,7.29,CRISIL AAA,15000.0,
Kotak Corporate Bond Fund,KOTAK,INE860H07JC8,ADITYA BIRLA CAPITAL LTD**,15256.41,0.86,7.29,CRISIL AAA,15000.0,
Kotak Corporate Bond Fund,KOTAK,INE756I07EJ2,HDB FINANCIAL SERVICES LTD.**,15149.82,0.8500000000000001,7.11,CRISIL AAA,1500.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08EA5,REC LTD**,14816.65,0.83,6.61,CRISIL AAA,1450.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08DI0,REC LTD**,13302.18,0.7500000000000001,6.89,CRISIL AAA,1350.0,
Kotak Corporate Bond Fund,KOTAK,INE128M08094,L&T METRO RAIL (HYDERABAD) LTD ( Axis Trusteeship services Ltd . Guaranteed by Larsen & Toubro Limited.) ,13016.45,0.73,7.53,CRISIL AAA(CE),13000.0,
Kotak Corporate Bond Fund,KOTAK,INE861G08027,Food Corporation of India**,13000.51,0.73,6.6,CRISIL AAA(CE),1237.0,
Kotak Corporate Bond Fund,KOTAK,INE115A07QU9,LIC HOUSING FINANCE LTD.**,12830.76,0.7200000000000001,6.98,CRISIL AAA,12500.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08FF1,REC LTD**,12734.75,0.7200000000000001,6.56,ICRA AAA,12500.0,
Kotak Corporate Bond Fund,KOTAK,INE071G07660,ICICI HOME FINANCE COMPANY LIMITED**,12711.95,0.7100000000000001,6.9,CRISIL AAA,12500.0,
Kotak Corporate Bond Fund,KOTAK,INE296A07TL0,BAJAJ FINANCE LTD.**,12563.08,0.7100000000000001,7.23,CRISIL AAA,12500.0,
Kotak Corporate Bond Fund,KOTAK,INE242A08551,INDIAN OIL CORPORATION LTD.**,11306.59,0.63,6.54,CRISIL AAA,11000.0,
Kotak Corporate Bond Fund,KOTAK,INE033L07IH5,TATA CAPITAL HOUSING FINANCE LTD.**,10329.93,0.5800000000000001,7.04,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE040A08AI6,HDFC BANK LTD.**,10288.800000000001,0.5800000000000001,7.17,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE033L07IJ1,TATA CAPITAL HOUSING FINANCE LTD.**,10273.78,0.5800000000000001,7.07,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KX8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,10241.84,0.5800000000000001,6.75,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE306N07NP4,TATA CAPITAL LTD.**,10229.82,0.5700000000000001,7.08,CRISIL AAA,1000.0,
Kotak Corporate Bond Fund,KOTAK,INE537P07844,INDIA INFRADEBT LTD**,10205.6,0.5700000000000001,7.45,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE134E08LX5,Power Finance Corporation Ltd.**,10201.31,0.5700000000000001,6.66,CRISIL AAA,1000.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KP4,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,10199.5,0.5700000000000001,6.59,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE535H07CJ6,SMFG INDIA CREDIT CO. LTD.**,10192.15,0.5700000000000001,7.2,ICRA AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE756I07FB6,HDB FINANCIAL SERVICES LTD.**,10169.62,0.5700000000000001,7.15,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE477A07381,CAN FIN HOMES LTD.**,10166.04,0.5700000000000001,7.21,ICRA AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE033L07IN3,TATA CAPITAL HOUSING FINANCE LTD.**,10070.01,0.5700000000000001,6.96,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE674K07028,ADITYA BIRLA CAPITAL LTD**,10031.86,0.5599999999999999,7.39,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08FZ9,REC LTD**,10014.210000000001,0.5599999999999999,6.51,ICRA AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE0KXY07059,VERTIS INFRASTRUCTURE TRUST**,10012.81,0.5599999999999999,7.08,CRISIL AAA,10000.0,
Kotak Corporate Bond Fund,KOTAK,INE206D08501,NUCLEAR POWER CORPORATION OF INDIA LTD.**,7694.88,0.43,6.57,ICRA AAA,7500.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KQ2,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,7656.900000000001,0.43,6.59,CRISIL AAA,7500.0,
Kotak Corporate Bond Fund,KOTAK,INE537P07828,INDIA INFRADEBT LTD**,7639.58,0.43,7.45,CRISIL AAA,7500.0,
Kotak Corporate Bond Fund,KOTAK,INE040A08AB1,HDFC BANK LTD.**,6877.37,0.39,6.96,CRISIL AAA,650.0,
Kotak Corporate Bond Fund,KOTAK,INE774D07VE1,Mahindra & Mahindra Financial Services Ltd.**,6096.43,0.34,7.16,CRISIL AAA,6000.0,
Kotak Corporate Bond Fund,KOTAK,INE861G08043,Food Corporation of India**,5840.63,0.33,6.92,CRISIL AAA(CE),550.0,
Kotak Corporate Bond Fund,KOTAK,INE557F08GC8,National Housing Bank**,5111.66,0.29000000000000004,6.82,CARE AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08FL9,REC LTD**,5104.6900000000005,0.29000000000000004,6.8,ICRA AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE115A07QW5,LIC HOUSING FINANCE LTD.**,5100.57,0.29000000000000004,6.82,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE127K08017,NOMURA FIXED INCOME SECURITIES PRIVATE LTD.**,5094.56,0.29000000000000004,7.14,FITCH AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE033L07ID4,TATA CAPITAL HOUSING FINANCE LTD.**,5088.29,0.29000000000000004,6.82,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE033L07HU0,TATA CAPITAL HOUSING FINANCE LTD.**,5086.38,0.29000000000000004,6.85,CRISIL AAA,500.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08EW9,REC LTD**,5084.78,0.29000000000000004,6.5,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE219X07454,INDIGRID INFRASTRUCTURE TRUST**,5077.53,0.29000000000000004,7.0,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE267A08046,Hindustan Zinc Ltd.**,5070.59,0.27999999999999997,7.12,CRISIL AAA,5000000.0,
Kotak Corporate Bond Fund,KOTAK,INE267A08038,Hindustan Zinc Ltd. ( ) **,5046.75,0.27999999999999997,7.08,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE219X07520,INDIGRID INFRASTRUCTURE TRUST**,5014.32,0.27999999999999997,7.19,CRISIL AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08FU0,REC LTD,5011.89,0.27999999999999997,6.8,ICRA AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08DA7,REC LTD**,5002.87,0.27999999999999997,6.9,CRISIL AAA,500.0,
Kotak Corporate Bond Fund,KOTAK,INE213W07327,SMFG INDIA HOME FINANCE COMPANY LTD**,4995.08,0.27999999999999997,7.29,CARE AAA,5000.0,
Kotak Corporate Bond Fund,KOTAK,INE219X07306,INDIGRID INFRASTRUCTURE TRUST**,4496.33,0.25,6.97,CRISIL AAA,450.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KS8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,4073.67,0.22999999999999998,6.75,CRISIL AAA,4000.0,
Kotak Corporate Bond Fund,KOTAK,INE115A07MC6,LIC HOUSING FINANCE LTD.**,4049.9,0.22999999999999998,6.81,CRISIL AAA,400.0,
Kotak Corporate Bond Fund,KOTAK,INE941D07166,Sikka Ports & Terminals Ltd. ( Mukesh Ambani Group ) **,3045.84,0.17,6.59,CRISIL AAA,300.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08EH0,REC LTD**,2567.6,0.13999999999999999,6.61,CRISIL AAA,2500.0,
Kotak Corporate Bond Fund,KOTAK,INE377Y07433,BAJAJ HOUSING FINANCE LTD.**,2559.06,0.13999999999999999,6.97,CRISIL AAA,250.0,
Kotak Corporate Bond Fund,KOTAK,INE756I07EZ8,HDB FINANCIAL SERVICES LTD.**,2553.28,0.13999999999999999,7.11,CRISIL AAA,2500.0,
Kotak Corporate Bond Fund,KOTAK,INE514E08GF5,Export-Import Bank of India,2541.66,0.13999999999999999,6.71,CRISIL AAA,2500.0,
Kotak Corporate Bond Fund,KOTAK,INE557F08GA2,National Housing Bank**,2024.0800000000002,0.11,6.95,CRISIL AAA,2000.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07017,DME DEVELOPMENT LIMITED**,1071.89,0.060000000000000005,9.09,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07108,DME DEVELOPMENT LIMITED**,1063.74,0.060000000000000005,9.06,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07082,DME DEVELOPMENT LIMITED**,1059.14,0.060000000000000005,8.92,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07090,DME DEVELOPMENT LIMITED**,1058.35,0.060000000000000005,8.94,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07074,DME DEVELOPMENT LIMITED**,1057.2,0.060000000000000005,8.81,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07066,DME DEVELOPMENT LIMITED**,1055.4,0.060000000000000005,8.6,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07058,DME DEVELOPMENT LIMITED**,1053.9,0.060000000000000005,8.41,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07025,DME DEVELOPMENT LIMITED**,1050.22,0.060000000000000005,7.08,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07033,DME DEVELOPMENT LIMITED**,1050.17,0.060000000000000005,7.77,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0J7Q07041,DME DEVELOPMENT LIMITED**,1050.09,0.060000000000000005,8.18,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE071G07728,ICICI HOME FINANCE COMPANY LIMITED**,1020.0600000000001,0.060000000000000005,6.98,ICRA AAA,1000.0,
Kotak Corporate Bond Fund,KOTAK,INE306N07NI9,TATA CAPITAL LTD.**,1019.26,0.060000000000000005,7.06,CRISIL AAA,100.0,
Kotak Corporate Bond Fund,KOTAK,INE0CCU07074,MINDSPACE BUSINESS PARKS REIT**,1009.28,0.060000000000000005,6.82,CRISIL AAA,1000.0,
Kotak Corporate Bond Fund,KOTAK,INE041007183,EMBASSY OFFICE PARKS REIT**,752.04,0.04,6.96,CRISIL AAA,750.0,
Kotak Corporate Bond Fund,KOTAK,INE16J715035,PTC INDIA UNIVERSAL TRUST AL1 (SERIES A3)  20/09/2030(INDIA UNIVERSAL TRUST AL1)**,19128.2,1.07,7.83,FITCH AAA(SO),200.0,
Kotak Corporate Bond Fund,KOTAK,INE0YWN15017,PTC SANSAR TRUST (SERIES A1)  25/06/2030 ( MAT 31/08/2027)(SANSAR TRUST)**,15235.0,0.86,8.44,CRISIL AAA(SO),2500000000.0,
Kotak Corporate Bond Fund,KOTAK,INE1CBK15037,PTC INDIA UNIVERSAL TRUST AL2 (SERIES A3) 21/11/2030(INDIA UNIVERSAL TRUST AL2)**,9243.44,0.52,7.83,FITCH AAA(SO),94.0,
Kotak Corporate Bond Fund,KOTAK,INE0SAI15015,PTC SANSAR TRUST (SERIES A1)  20/01/2027 (MAT 20/11/2029)(SANSAR TRUST)**,3200.55,0.18000000000000002,8.25,CRISIL AAA(SO),950000000.0,
Kotak Corporate Bond Fund,KOTAK,INE17O215012,PTC SANSAR TRUST (AUGUST 24 V)  25/09/2029(SANSAR TRUST)**,2422.5,0.13999999999999999,8.48,CRISIL AAA(SO),300000000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020230085,Central Government - 2033(^),154759.18,8.690000000000001,6.54,SOV,147935080.0,
Kotak Corporate Bond Fund,KOTAK,IN0020210137,Central Government - 2034(^),50102.5,2.81,6.34,SOV,49000000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020240019,Central Government - 2034(^),46000.520000000004,2.58,6.56,SOV,44135698.0,
Kotak Corporate Bond Fund,KOTAK,IN0020240118,Central Government - 2054(^),40299.840000000004,2.2600000000000002,7.15,SOV,40000000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020180041,Central Government - 2031(^),14840.75,0.83,6.23,SOV,14500000.0,
Kotak Corporate Bond Fund,KOTAK,IN2220220197,Maharashtra State Govt - 2031 - Maharashtra,9976.300000000001,0.5599999999999999,6.72,SOV,9500000.0,
Kotak Corporate Bond Fund,KOTAK,IN2220230196,Maharashtra State Govt - 2035 - Maharashtra,9360.41,0.53,7.0,SOV,8900000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020250018,Central Government - 2065,8782.710000000001,0.49,7.21,SOV,9000000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020230051,Central Government - 2053,3608.69,0.2,7.17,SOV,3500000.0,
Kotak Corporate Bond Fund,KOTAK,IN0020200120,Central Government - 2033,1883.76,0.11,6.34,SOV,1812177.0,
Kotak Corporate Bond Fund,KOTAK,IN3120160061,Tamil Nadu State Govt - 2026 - Tamil Nadu,305.42,0.02,5.82,SOV,299700.0,
Kotak Corporate Bond Fund,KOTAK,IN000426C030,GS CG 12 Apr 2026 - (STRIPS),331.13,0.02,5.66,SOV,344100.0,
Kotak Corporate Bond Fund,KOTAK,INE040A16HB9,HDFC BANK LTD.**,2367.2400000000002,0.13,6.26,CARE A1+,2500.0,
Kotak Corporate Bond Fund,KOTAK,INF0RQ622028,SBI ALTERNATIVE INVESTMENT FUND,4729.78,0.27,,Alternative Investment Fund,41894.355,
