Fund Name,AMC,Security Type,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
,,isin_security,INE976I07CY9,NCD TATA CAPITAL LTD.,5086.81,0.88,7.16,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE916DA7SW0,NCD KOTAK MAHINDRA PRIME LTD.,5080.25,0.88,7.31,CRISIL-AAA,5000.0,2025-07-31
,,cash_equivalent,INE556F08KU4,NCD SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,5079.92,0.88,6.86,CRISIL-AAA,5000.0,2025-07-31
,,cash_equivalent,INE556F08KP4,NCD SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,5078.5,0.88,6.77,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE134E08LX5,NCD POWER FINANCE CORPORATION LTD.,5074.86,0.88,6.86,CRISIL-AAA,500.0,2025-07-31
,,isin_security,INE020B08EK4,NCD REC LTD,5074.35,0.88,6.84,ICRA-AAA,5000.0,2025-07-31
,,isin_security,INE115A07QO2,NCD LIC HOUSING FINANCE LTD.,5068.41,0.88,6.89,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE033L07IL7,NCD TATA CAPITAL HOUSING FINANCE LTD,5065.23,0.88,7.15,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE020B08EW9,NCD REC LTD,5063.78,0.88,6.71,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE831R07540,NCD ADITYA BIRLA HOUSING FINANCE LTD,5058.1,0.88,7.36,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE020B08EP3,NCD REC LTD,5053.5,0.88,6.66,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE020B08ES7,NCD REC LTD,5033.91,0.87,6.64,ICRA-AAA,5000.0,2025-07-31
,,isin_security,INE916DA7RS0,NCD KOTAK MAHINDRA PRIME LTD.,5018.32,0.87,7.02,CRISIL-AAA,500.0,2025-07-31
,,isin_security,INE020B08FU0,NCD REC LTD,4980.67,0.86,6.95,ICRA-AAA,5000.0,2025-07-31
,,isin_security,INE916DA7TB2,NCD KOTAK MAHINDRA PRIME LTD.,4977.87,0.86,7.25,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE115A07PN6,NCD LIC HOUSING FINANCE LTD.,4973.61,0.86,6.84,CRISIL-AAA,500.0,2025-07-31
,,isin_security,INE020B08FY2,NCD REC LTD,4959.12,0.86,6.93,ICRA-AAA,5000.0,2025-07-31
,,cash_equivalent,INE261F08EI9,NCD NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,3560.75,0.62,6.76,ICRA-AAA,3500.0,2025-07-31
,,isin_security,INE053F07AB5,NCD INDIAN RAILWAY FINANCE CORPORATION LIMITED,3028.64,0.52,6.66,CRISIL-AAA,300.0,2025-07-31
,,isin_security,INE733E07KL3,NCD NTPC LTD.,2547.18,0.44,6.74,CRISIL-AAA,250.0,2025-07-31
,,cash_equivalent,INE514E08GC2,NCD EXPORT IMPORT BANK OF INDIA,2546.56,0.44,6.77,CRISIL-AAA,2500.0,2025-07-31
,,cash_equivalent,INE557F08FY4,NCD NATIONAL HOUSING BANK,2538.9,0.44,6.64,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE916DA7SO7,NCD KOTAK MAHINDRA PRIME LTD.,2537.67,0.44,7.15,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE020B08FF1,NCD REC LTD,2537.3,0.44,6.72,ICRA-AAA,2500.0,2025-07-31
,,cash_equivalent,INE261F08EM1,NCD NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,2537.15,0.44,6.84,ICRA-AAA,2500.0,2025-07-31
,,isin_security,INE134E08NP7,NCD POWER FINANCE CORPORATION LTD.,2533.03,0.44,6.92,CRISIL-AAA,2500.0,2025-07-31
,,cash_equivalent,INE514E08GD0,NCD EXPORT IMPORT BANK OF INDIA,2532.73,0.44,6.77,ICRA-AAA,2500.0,2025-07-31
,,isin_security,INE020B08FR6,NCD REC LTD,2532.71,0.44,6.83,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE134E08ND3,NCD POWER FINANCE CORPORATION LTD.,2532.64,0.44,7.0,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE916DA7SN9,NCD KOTAK MAHINDRA PRIME LTD.,2531.39,0.44,7.12,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE242A08536,NCD INDIAN OIL CORPORATION LTD.,2525.44,0.44,6.57,ICRA-AAA,250.0,2025-07-31
,,isin_security,INE134E08MT1,NCD POWER FINANCE CORPORATION LTD.,2520.09,0.44,6.7,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE916DA7SZ3,NCD KOTAK MAHINDRA PRIME LTD.,2519.12,0.44,7.25,CRISIL-AAA,2500.0,2025-07-31
,,cash_equivalent,INE514E08FJ9,NCD EXPORT IMPORT BANK OF INDIA,2519.07,0.44,6.61,CRISIL-AAA,250.0,2025-07-31
,,isin_security,INE134E08MO2,NCD POWER FINANCE CORPORATION LTD.,2509.32,0.43,6.64,CRISIL-AAA,2500.0,2025-07-31
,,cash_equivalent,INE514E08EP9,NCD EXPORT IMPORT BANK OF INDIA,2501.77,0.43,5.65,CRISIL-AAA,250.0,2025-07-31
,,isin_security,INE053F08494,NCD INDIAN RAILWAY FINANCE CORPORATION LIMITED,2487.48,0.43,6.9,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE242A08502,NCD INDIAN OIL CORPORATION LTD.,2484.79,0.43,6.57,CRISIL-AAA,250.0,2025-07-31
,,isin_security,INE020B08FW6,NCD REC LTD,2483.8,0.43,6.83,ICRA-AAA,2500.0,2025-07-31
,,isin_security,INE134E08NS1,NCD POWER FINANCE CORPORATION LTD.,2480.52,0.43,6.92,CRISIL-AAA,2500.0,2025-07-31
,,isin_security,INE151A08356,NCD TATA COMMUNICATIONS LTD.,1489.98,0.26,7.03,CRISIL-AAA,1500.0,2025-07-31
,,cash_equivalent,INE514E08FN1,NCD EXPORT IMPORT BANK OF INDIA,1014.02,0.18,6.61,CRISIL-AAA,100.0,2025-07-31
,,other_security,,SECURITISED DEBT,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(a)  Listed/awaiting listing on Stock Exchanges,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,INE16J715035,08.20% PTC- INDIA UNIVERSAL TRUST AL1-SERIES A3,7114.75,1.23,7.88,IND-AAA(SO),75.0,2025-07-31
,,other_security,,(b) Unlisted,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,INE2I7F15012,07.80% XIRR PTC- SIDDHIVINAYAK  SECURITISATION TRUST-28/09/2030,10499.71,1.82,7.81,CRISIL-AAA(SO),105.0,2025-07-31
,,isin_security,INE2I7G15010,07.73% XIRR PTC- SHIVSHAKTI  SECURITISATION TRUST-28/09/2029,2500.0,0.43,7.74,CRISIL-AAA(SO),25.0,2025-07-31
,,other_security,,MONEY MARKET INSTRUMENTS,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,IN0020240019,7.10% GSEC - MAT - 08/04/2034,33082.75,5.73,6.58,SOV,3200000000.0,2025-07-31
,,isin_security,IN0020240126,6.79% GOVT BONDS - 07/10/2034,18263.57,3.17,6.57,SOV,1800000000.0,2025-07-31
,,cash_equivalent,INE692A16IP5,CD - UNION BANK - 03/02/2026,12211.18,2.12,6.17,ICRA-A1+,1250000000.0,2025-07-31
,,cash_equivalent,INE237A161Z4,CD - KOTAK MAHINDRA BANK - 09/01/2026,9809.61,1.7,6.16,CRISIL-A1+,1000000000.0,2025-07-31
,,isin_security,IN0020250026,6.33% GSEC MAT - 05/05/2035,7412.44,1.28,6.49,SOV,750000000.0,2025-07-31
,,isin_security,IN3120161309,07.74% TAMIL NADU SDL 01/03/2027,5108.72,0.89,6.16,SOV,500000000.0,2025-07-31
,,isin_security,IN0020250059,6.28% GSEC MAT- 14/07/2032,4946.21,0.86,6.48,SOV,500000000.0,2025-07-31
,,cash_equivalent,INE692A16JQ1,CD - UNION BANK OF INDIA - 25/06/26,4765.47,0.83,6.37,ICRA-A1+,500000000.0,2025-07-31
,,isin_security,IN0020240076,7.02% IGB GS MAT - 18/06/2031,2570.11,0.45,6.43,SOV,250000000.0,2025-07-31
,,isin_security,IN0020200120,GOI FRB - MAT 22/09/2033,70.32,0.01,0.0,SOV,6790000.0,2025-07-31
,,cash_equivalent,,SHORT TERM DEPOSITS -,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,CORPORATE DEBT MARKET DEVELOPMENT FUND,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(b) Unlisted,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,INF0RQ622028,CORPORATE DEBT MARKET DEVT FUND - A2 UNITS,1527.32,0.26,0.0,-,13446.772,2025-07-31
,,other_security,,Others,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,*  Percentage to NAV less than 0.01,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,$  Exposure to below Investment Grade/Default,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,** Non traded securities,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(a)Details of Default beyond Maturity Date (Fig. in Lakhs) :NIL,0.0,0.0,0.0,,0.0,2025-07-31
,,derivative,,a1) Exposure to Credit Default Swap/Repo in Corporate Bond (Fig in lakhs):NIL,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(c)NAV at beginning of half year: 500716.87 lacs  NAV at end:577001.81 lacs,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,, Gross Distributable Amount / Dividend%  : For details refer to Dividend Table ,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,   Bonus Ratio:  ,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(d) AUM figures includes inter scheme investments of Rs. 17952.83 Lacs,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(f)Average Portfolio maturity (years):3.5637,0.0,0.0,0.0,,0.0,2025-07-31
,,derivative,,“This scheme has exposure to floating rate instruments and / or interest rate derivatives. The duration of these instruments is linked to the interest rate reset period. The interest rate risk in a floating rate instrument or in a fixed rate instrument hedged with derivatives is likely to be lesser than that in an equivalent maturity fixed rate instrument. Under some market circumstances the volatility may be of an order greater than what may ordinarily be expected considering only its duration. Hence investors are recommended to consider the unadjusted portfolio maturity of the scheme as well and exercise adequate due diligence when deciding to make their investments”.,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,SCHEME CODE703ENDS,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,SCHEME CODE713STARTS,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,UTI MUTUAL FUND,0.0,0.0,0.0,,0.0,2025-07-31
