Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
Nippon India Corporate Bond Fund,NIPPON,INE733E08262,7.26% NTPC Limited**,10238.06,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08FL9,7.34% REC Limited**,10209.38,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE507T07070,7.4% Summit Digitel Infrastructure Limited**,10142.49,0,0,,1000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE033L07IO1,7.12% Tata Capital Housing Finance Limited**,10048.13,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE062A08256,6.24% State Bank of India**,9995.09,0,0,,1000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE498L07160,7.12% L&T Finance Limited**,9992.37,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08NR3,6.64% Power Finance Corporation Limited**,9920.92,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE774D08MX8,8.24% Mahindra & Mahindra Financial Services Limited**,9789.91,0,0,,9510.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08LX5,7.59% Power Finance Corporation Limited**,7957.02,0,0,,780.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE033L07IH5,8.05% Tata Capital Housing Finance Limited**,7747.45,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE0KXY07034,8.34% Highways Infrastructure Trust**,7652.26,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08NP7,7.45% Power Finance Corporation Limited,7647.38,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE692Q07548,8.06% Toyota Financial Services India Limited**,7629.19,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE151A08349,7.75% Tata Communications Limited**,7582.9,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F08106,6.89% Indian Railway Finance Corporation Limited**,7523.69,0,0,,750.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE511C07854,7.65% Poonawalla Fincorp Limited**,7513.31,0,0,,7500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08NO0,7.44% Power Finance Corporation Limited**,7160.76,0,0,,7000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE514E08GE8,7.35% Export Import Bank of India,7155.37,0,0,,7000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE033L07IJ1,7.86% Tata Capital Housing Finance Limited**,6164.27,0,0,,6000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE115A07QU9,7.75% LIC Housing Finance Limited**,6158.77,0,0,,6000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08MJ2,7.77% Power Finance Corporation Limited,5641.35,0,0,,5500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08FA2,7.59% REC Limited**,5597.98,0,0,,5500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE128M08094,7.55% L&T Metro Rail (Hyderabad) Limited,5506.96,0,0,,5500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07CQ9,6.73% Indian Railway Finance Corporation Limited**,5394.73,0,0,,550.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BU9,8.3% REC Limited,5260.78,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE556F08KL3,7.83% Small Industries Dev Bank of India**,5165.95,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE557F08GD6,7.35% National Housing Bank**,5129.73,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE071G07736,7.94% ICICI Home Finance Company Limited**,5122.58,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EL3,7.4% National Bank For Agriculture and Rural Development,5108.92,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE831R07565,7.9% Aditya Birla Housing Finance Limited**,5103.24,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE556F08KT6,7.44% Small Industries Dev Bank of India**,5093.13,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07AA7,7.49% Indian Railway Finance Corporation Limited**,5085.43,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE692Q07555,8.05% Toyota Financial Services India Limited**,5083.96,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE860H07IG1,7.92% Aditya Birla Capital Limited**,5070.42,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE831R07557,7.9% Aditya Birla Housing Finance Limited**,5065.0,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE667F07IZ4,7.7% Sundaram Home Finance Limited**,5050.69,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE756I08306,7.95% HDB Financial Services Limited**,5032.36,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE282H07018,7.19% JIO Credit Limited**,5010.03,0,0,,5000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07ID2,6.98% National Highways Authority Of India**,5007.79,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE062A08264,5.83% State Bank of India**,4991.25,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE0CCU07116,7.96% Mindspace Business Parks REIT**,4643.78,0,0,,4500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07BD9,8.3% Indian Railway Finance Corporation Limited**,4207.72,0,0,,400.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE296A07TD7,7.98% Bajaj Finance Limited**,3593.78,0,0,,3500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE557F08FY4,7.59% National Housing Bank**,3568.72,0,0,,3500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EK5,7.44% National Bank For Agriculture and Rural Development,3560.47,0,0,,3500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07II1,6.94% National Highways Authority Of India**,3473.89,0,0,,350.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07HO1,7.82% National Highways Authority Of India**,3176.48,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BH6,8.37% REC Limited**,3160.56,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07BE7,8.23% Indian Railway Finance Corporation Limited**,3149.8,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08JP5,7.85% Power Finance Corporation Limited**,3091.87,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08LM8,6.95% Power Finance Corporation Limited**,3007.1,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE219X07306,6.72% IndiGRID Infrastructure Trust**,2997.56,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE090A08UE8,6.45% ICICI Bank Limited**,2967.81,0,0,,300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BC7,8.7% REC Limited**,2649.91,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BE3,8.54% REC Limited**,2643.96,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BO2,8.3% REC Limited**,2636.85,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE018A08BF6,8% Larsen & Toubro Limited**,2631.75,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08KK4,7.86% Power Finance Corporation Limited**,2601.58,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08EE7,7.69% REC Limited**,2597.92,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08AY3,8.01% REC Limited**,2590.04,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08FD6,7.58% REC Limited**,2568.95,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08JG4,7.65% Power Finance Corporation Limited**,2553.27,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE916DA7SW0,7.78% Kotak Mahindra Prime Limited**,2552.52,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07HL7,7.27% National Highways Authority Of India**,2552.22,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE976I07CT9,8.29% Tata Capital Limited**,2551.06,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EF5,7.8% National Bank For Agriculture and Rural Development,2544.36,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08EX7,7.64% REC Limited**,2544.25,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE235P07498,8.43% L&T Finance Limited**,2537.97,0,0,,100.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08AC9,7.54% REC Limited**,2534.27,0,0,,250.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08NJ0,7.24% Power Finance Corporation Limited**,2534.05,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE041007167,7.21% Embassy Office Parks REIT,2518.71,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE134E08NS1,6.61% Power Finance Corporation Limited**,2494.52,0,0,,2500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BS3,8.8% REC Limited**,2133.48,0,0,,200.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07AZ4,8.4% Indian Railway Finance Corporation Limited**,2104.4,0,0,,200.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08EK4,7.46% REC Limited**,2042.35,0,0,,2000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08FQ8,7.32% REC Limited**,2038.67,0,0,,2000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE033L07IK9,7.71% Tata Capital Housing Finance Limited**,2032.5,0,0,,2000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08BG8,8.56% REC Limited**,1588.18,0,0,,150.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE498L07038,8.24% L&T Finance Limited**,1527.5,0,0,,1500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07BC1,8.35% Indian Railway Finance Corporation Limited**,1053.14,0,0,,100.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08EH0,7.77% REC Limited**,1027.04,0,0,,1000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07IC4,6.99% National Highways Authority Of India**,1002.09,0,0,,100.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE906B07HI3,7.87% National Highways Authority Of India**,955.68,0,0,,90.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08DV4,7.62% National Bank For Agriculture and Rural Development**,816.49,0,0,,800.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE01MM08012,8.35% SBI General Insurance Company Limited**,612.68,0,0,,600.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07BX7,7.55% Indian Railway Finance Corporation Limited**,516.2,0,0,,50.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE756I07EZ8,8.34% HDB Financial Services Limited**,510.66,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE296A07TC9,8.12% Bajaj Finance Limited**,510.31,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE115A07RA9,7.69% LIC Housing Finance Limited,506.28,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE756I07ER5,8.38% HDB Financial Services Limited**,504.94,0,0,,500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08DT8,7.5% National Bank For Agriculture and Rural Development**,501.96,0,0,,50.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE0H7R07066,National Highways Infra Trust,2854.43,0,0,,5284.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE0H7R07058,National Highways Infra Trust**,142.47,0,0,,284.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE1CBK15037,India Universal Trust**,14750.18,0,0,,150.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE16J715035,India Universal Trust**,14346.15,0,0,,150.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE514E16CM3,Export Import Bank of India**,7120.52,0,0,,1500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE110L14UA7,Reliance Jio Infocomm Limited**,9969.72,0,0,,2000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INF0RQ622028,Corporate Debt Market Development Fund Class A2,2523.63,0,0,,22353.213,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE062A08256,6.24% SBI NCDSr2 BSIII Tier2 (M21/9/30)CALL19/9/25,,0,0,,,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE062A08264,5.83% SBI Sr3 BSIII Tier2 (M26/10/30)CALL24/10/25,,0,0,,,2025-07-31
