Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date,Standardized Rating,Market_Value_Crores,Issuer_Clean,Instrument_Type,Yield_Bucket,Rating_Quality_Score,Maturity_Years,Fund_Clean
ABSLF Corporate Bond Fund,ABSLF,INE053F08403,7.39% Indian Railway Finance Corporation Limited (15/07/2034) **,24632.9,0.8613847973399871,6.98,ICRA AAA,24000.0,2034-07-15,AAA,246.329,Indian Railway Finance Corporation Limited,Corporate Bond,6-7%,95,8.955509924709103,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE261F08EI9,7.70% National Bank For Agriculture and Rural Development (30/09/2027) **,24494.26,0.8565364335668161,6.63,ICRA AAA,24000.0,2027-09-30,AAA,244.94259999999997,NABARD,Corporate Bond,6-7%,95,2.1656399726214923,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE041007167,7.21% Embassy Office Parks REIT (17/03/2028),22869.86,0.799733285729183,7.07,CRISIL AAA,22700.0,2028-03-17,AAA,228.6986,Embassy Office Parks REIT,Corporate Bond,7-8%,95,2.628336755646817,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE774D07VF8,8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) **,22643.9,0.7918314368028929,7.265000000000001,CRISIL AAA,22000.0,2029-05-31,AAA,226.43900000000002,Mahindra & Mahindra Financial Services Limited,Corporate Bond,7-8%,95,3.8329911019849416,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07SY5,7.93% Bajaj Finance Limited (02/05/2034) **,21125.31,0.738728254093451,7.435,CRISIL AAA,20500.0,2034-05-02,AAA,211.25310000000002,Bajaj Finance,Corporate Bond,7-8%,95,8.752908966461328,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE976I07CY9,8.098% Tata Capital Limited (23/09/2027) **,20427.64,0.7143314706838549,7.000000000000001,ICRA AAA,20000.0,2027-09-23,AAA,204.2764,Tata Capital Limited,Corporate Bond,7-8%,95,2.1464750171115674,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE556F08KD0,7.75% Small Industries Development Bank of India (27/10/2025),20069.9,0.7018217074257179,6.1,ICRA AAA,2000.0,2025-10-27,AAA,200.699,SIDBI,Corporate Bond,6-7%,95,0.24093086926762491,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE831R07557,7.8989% Aditya Birla Housing Finance Limited (08/06/2027) **,19247.0,0.6730458249828251,7.105,ICRA AAA,19000.0,2027-06-08,AAA,192.47,Aditya Birla Housing Finance Limited,Corporate Bond,7-8%,95,1.8535249828884326,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE377Y07508,7.89% Bajaj Housing Finance Limited (14/07/2034),19172.92,0.670455296185581,7.32,CRISIL AAA,18500.0,2034-07-14,AAA,191.7292,Bajaj Housing Finance Limited,Corporate Bond,7-8%,95,8.952772073921972,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QT1,7.865% LIC Housing Finance Limited (20/08/2026) **,18217.6,0.637048940993337,6.625,CRISIL AAA,18000.0,2026-08-20,AAA,182.176,LIC Housing Finance,Corporate Bond,6-7%,95,1.054072553045859,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE053F08486,7.17% Indian Railway Finance Corporation Limited (27/04/2035),18217.35,0.637040128838305,7.000000000000001,ICRA AAA,18000.0,2035-04-27,AAA,182.1735,Indian Railway Finance Corporation Limited,Corporate Bond,7-8%,95,9.738535249828884,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE556F08KX8,7.49% Small Industries Development Bank of India (11/06/2029) **,17923.22,0.6267547353482971,6.7487,CRISIL AAA,17500.0,2029-06-11,AAA,179.2322,SIDBI,Corporate Bond,6-7%,95,3.863107460643395,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE306N07NP4,7.97% Tata Capital Limited (19/07/2028) **,17902.19,0.626019165185232,7.0799,ICRA AAA,1750.0,2028-07-19,AAA,179.0219,Tata Capital Limited,Corporate Bond,7-8%,95,2.967830253251198,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NO0,7.44% Power Finance Corporation Limited (15/01/2030) **,17901.89,0.626008761946652,6.815,ICRA AAA,17500.0,2030-01-15,AAA,179.0189,PFC,Corporate Bond,6-7%,95,4.459958932238193,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NL6,7.42% Power Finance Corporation Limited (15/04/2028) **,17805.36,0.6226332170053319,6.68,ICRA AAA,17500.0,2028-04-15,AAA,178.05360000000002,PFC,Corporate Bond,6-7%,95,2.707734428473648,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE507T07062,6.59% Summit Digitel Infrastructure Private Limited (16/06/2026) **,17533.51,0.613127104764855,6.515,CRISIL AAA,1750.0,2026-06-16,AAA,175.33509999999998,Summit Digitel Infrastructure Private Limited,Corporate Bond,6-7%,95,0.8761122518822724,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE511C07870,7.60% Poonawalla Fincorp Limited (28/05/2027) **,17521.63,0.612711587176901,7.5007,CRISIL AAA,17500.0,2027-05-28,AAA,175.21630000000002,Poonawalla Fincorp Limited,Corporate Bond,7-8%,95,1.8234086242299794,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07SI8,7.90% Bajaj Finance Limited (13/04/2028) **,16299.44,0.569972984961711,7.090000000000001,CRISIL AAA,1600.0,2028-04-13,AAA,162.9944,Bajaj Finance,Corporate Bond,7-8%,95,2.702258726899384,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE557F08GD6,7.35% National Housing Bank (02/01/2032) **,15389.18,0.5381420472634729,6.83,IND AAA,15000.0,2032-01-02,AAA,153.8918,National Housing Bank,Corporate Bond,6-7%,95,6.422997946611909,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE507T07096,8.05% Summit Digitel Infrastructure Private Limited (31/05/2027) **,15336.18,0.536288872041622,6.909999999999999,CRISIL AAA,1500.0,2027-05-31,AAA,153.36180000000002,Summit Digitel Infrastructure Private Limited,Corporate Bond,6-7%,95,1.8316221765913758,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE261F08EL3,7.40% National Bank For Agriculture and Rural Development (29/04/2030),15326.75,0.53595894076097,6.834999999999999,ICRA AAA,15000.0,2030-04-29,AAA,153.2675,NABARD,Corporate Bond,6-7%,95,4.744695414099931,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE976I07CT9,8.285% Tata Capital Limited (10/05/2027) **,15306.35,0.53524557582983,6.99,ICRA AAA,15000.0,2027-05-10,AAA,153.0635,Tata Capital Limited,Corporate Bond,6-7%,95,1.7741273100616017,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE261F08EM1,7.53% National Bank For Agriculture and Rural Development (24/03/2028),15296.69,0.534907776553614,6.665799999999999,ICRA AAA,15000.0,2028-03-24,AAA,152.9669,NABARD,Corporate Bond,6-7%,95,2.647501711156742,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE514E08GD0,7.14% Export Import Bank of India (13/12/2029) **,15276.89,0.534215392943978,6.625,ICRA AAA,15000.0,2029-12-13,AAA,152.7689,Export Import Bank of India,Corporate Bond,6-7%,95,4.369609856262834,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE774D07VG6,8.01% Mahindra & Mahindra Financial Services Limited (24/12/2027) **,15257.34,0.533531926395981,7.175,ICRA AAA,15000.0,2027-12-24,AAA,152.5734,Mahindra & Mahindra Financial Services Limited,Corporate Bond,7-8%,95,2.3983572895277208,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07RA9,7.69% LIC Housing Finance Limited (11/12/2026),15188.37,0.531120123489083,6.65,CRISIL AAA,15000.0,2026-12-11,AAA,151.8837,LIC Housing Finance,Corporate Bond,6-7%,95,1.3634496919917864,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE128M08094,7.55% L&T Metro Rail Hyderabad Ltd (28/04/2035),15018.98,0.525196571895434,7.525,CRISIL AAA(CE),15000.0,2035-04-28,AAA,150.1898,L&T Metro Rail Hyderabad Ltd,Corporate Bond,7-8%,95,9.741273100616016,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE053F08528,6.58% Indian Railway Finance Corporation Limited (30/05/2030) **,14906.63,0.5212678194437891,6.737500000000001,ICRA AAA,15000.0,2030-05-30,AAA,149.06629999999998,Indian Railway Finance Corporation Limited,Corporate Bond,6-7%,95,4.829568788501026,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07PF2,6.01% LIC Housing Finance Limited (19/05/2026) **,14435.23,0.504783616906431,6.52,CRISIL AAA,1450.0,2026-05-19,AAA,144.35229999999999,LIC Housing Finance,Corporate Bond,6-7%,95,0.7994524298425736,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE062A08447,7.42% State Bank of India (29/08/2039) **,13628.02,0.4765564659586089,7.3077,ICRA AAA,135.0,2039-08-29,AAA,136.2802,SBI,Corporate Bond,7-8%,95,14.078028747433265,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE756I07EL8,8.04% HDB Financial Services Limited (25/02/2026) **,13579.81,0.4748706692290569,6.7299999999999995,CRISIL AAA,1350.0,2026-02-25,AAA,135.7981,HDB Financial Services Limited,Corporate Bond,6-7%,95,0.5722108145106092,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE261F08EN9,7.37% National Bank For Agriculture and Rural Development (28/05/2035) **,12785.41,0.447091417042044,7.034999999999999,IND AAA,12500.0,2035-05-28,AAA,127.8541,NABARD,Corporate Bond,7-8%,95,9.82340862422998,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE514E08GE8,7.35% Export Import Bank of India (27/07/2028),12777.44,0.446812540310385,6.505,ICRA AAA,12500.0,2028-07-27,AAA,127.7744,Export Import Bank of India,Corporate Bond,6-7%,95,2.9897330595482545,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE031A08954,7.19% Housing & Urban Development Corporation Limited (27/03/2035) **,12610.59,0.440977984488783,7.0525,ICRA AAA,12500.0,2035-03-27,AAA,126.1059,Housing & Urban Development Corporation Limited,Corporate Bond,7-8%,95,9.653661875427789,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NU7,6.59% Power Finance Corporation Limited (15/10/2030),12373.28,0.432679434723041,6.83,ICRA AAA,12500.0,2030-10-15,AAA,123.73280000000001,PFC,Corporate Bond,6-7%,95,5.207392197125257,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE556F08KR0,7.47% Small Industries Development Bank of India (05/09/2029) **,12296.32,0.429988265520315,6.7538,CRISIL AAA,12000.0,2029-09-05,AAA,122.9632,SIDBI,Corporate Bond,6-7%,95,4.098562628336755,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE306N07NN9,7.99% Tata Capital Limited (08/02/2034) **,11343.45,0.396667723933023,7.470000000000001,ICRA AAA,11000.0,2034-02-08,AAA,113.43450000000001,Tata Capital Limited,Corporate Bond,7-8%,95,8.525667351129364,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE020B08FD6,7.58% REC Limited (31/05/2029) **,11303.39,0.395266801096194,6.7288,ICRA AAA,11000.0,2029-05-31,AAA,113.03389999999999,REC Limited,Corporate Bond,6-7%,95,3.8329911019849416,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE040A08427,7.86% HDFC Bank Limited (02/12/2032) **,11030.53,0.385725146497089,7.1194,CRISIL AAA,106.0,2032-12-02,AAA,110.3053,HDFC Bank Limited,Corporate Bond,7-8%,95,7.340177960301164,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE202E08193,7.59% Indian Renewable Energy Development Agency Ltd (26/07/2034) **,10364.51,0.362435194237686,7.025,ICRA AAA,10000.0,2034-07-26,AAA,103.6451,Indian Renewable Energy Development Agency Ltd,Corporate Bond,7-8%,95,8.985626283367557,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07SU3,7.87% Bajaj Finance Limited (08/02/2034) **,10260.54,0.358799480909714,7.435,CRISIL AAA,10000.0,2034-02-08,AAA,102.6054,Bajaj Finance,Corporate Bond,7-8%,95,8.525667351129364,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE040A08955,7.70% HDFC Bank Limited (16/05/2028) **,10200.15,0.356687710900325,6.87,ICRA AAA,10000.0,2028-05-16,AAA,102.0015,HDFC Bank Limited,Corporate Bond,6-7%,95,2.7926078028747434,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE514E08GF5,7.12% Export Import Bank of India (27/06/2030),10166.64,0.35551590409432,6.705,ICRA AAA,10000.0,2030-06-27,AAA,101.6664,Export Import Bank of India,Corporate Bond,6-7%,95,4.906228610540725,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE306N07MX0,7.89% Tata Capital Limited (26/07/2027),10159.25,0.355257484151128,7.000000000000001,ICRA AAA,1000.0,2027-07-26,AAA,101.5925,Tata Capital Limited,Corporate Bond,7-8%,95,1.9849418206707734,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE160A08324,7.34% Punjab National Bank (14/02/2035) **,10149.24,0.354907445770701,7.109999999999999,CRISIL AAA,10000.0,2035-02-14,AAA,101.4924,Punjab National Bank,Corporate Bond,7-8%,95,9.541409993155373,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NJ0,7.24% Power Finance Corporation Limited (15/01/2035) **,10136.21,0.35445180140537,7.03,ICRA AAA,10000.0,2035-01-15,AAA,101.3621,PFC,Corporate Bond,7-8%,95,9.45927446954141,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE891K07AF9,7.732% Axis Finance Limited (12/06/2028) **,10132.64,0.354326962542421,7.19,CRISIL AAA,10000.0,2028-06-12,AAA,101.32639999999999,Axis Finance Limited,Corporate Bond,7-8%,95,2.86652977412731,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE0NDH07043,7.6937% Nexus Select Trust (28/05/2027) **,10112.36,0.353617793875582,7.055,ICRA AAA,10000.0,2027-05-28,AAA,101.12360000000001,Nexus Select Trust,Corporate Bond,7-8%,95,1.8234086242299794,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07TH8,7.55% Bajaj Finance Limited (03/04/2035),10068.04,0.352067973593811,7.44,ICRA AAA,10000.0,2035-04-03,AAA,100.6804,Bajaj Finance,Corporate Bond,7-8%,95,9.672826830937714,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NR3,6.64% Power Finance Corporation Limited (15/07/2030) **,9920.92,0.3469233535610019,6.83,ICRA AAA,10000.0,2030-07-15,AAA,99.2092,PFC,Corporate Bond,6-7%,95,4.955509924709103,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE0KUG08092,6.67% National Bank for Financing Infrastructure and Dev (30/05/2030) **,9906.05,0.346403366476392,6.897499999999999,ICRA AAA,10000.0,2030-05-30,AAA,99.06049999999999,National Bank for Financing Infrastructure and Dev,Corporate Bond,6-7%,95,4.829568788501026,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE053F07CQ9,6.73% Indian Railway Finance Corporation Limited (06/07/2035) **,9808.6,0.342995650175432,7.000000000000001,ICRA AAA,1000.0,2035-07-06,AAA,98.086,Indian Railway Finance Corporation Limited,Corporate Bond,7-8%,95,9.930184804928132,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE790Z07053,7.162304% IndInfravit Trust (31/03/2040) **,9506.16,0.332419665382591,6.859999999999999,ICRA AAA,10000.0,2040-03-31,AAA,95.0616,IndInfravit Trust,Corporate Bond,6-7%,95,14.666666666666666,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07TJ4,7.3763% Bajaj Finance Limited (26/06/2028) **,9055.88,0.316673917940006,7.090000000000001,CRISIL AAA,9000.0,2028-06-26,AAA,90.55879999999999,Bajaj Finance,Corporate Bond,7-8%,95,2.9048596851471595,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE01XX07034,7.96% Pipeline Infrastructure Limited (11/03/2029) **,8535.81,0.298487497292133,6.765000000000001,CRISIL AAA,8200.0,2029-03-11,AAA,85.3581,Pipeline Infrastructure Limited,Corporate Bond,6-7%,95,3.6112251882272415,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE071G07843,7.19% ICICI Home Finance Company Limited (22/08/2028) **,8528.14,0.298219534344543,7.0687,CRISIL AAA,8500.0,2028-08-22,AAA,85.28139999999999,ICICI Home Finance Company Limited,Corporate Bond,7-8%,95,3.060917180013689,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QW5,7.74% LIC Housing Finance Limited (11/02/2028) **,8160.91,0.285377864064646,6.819999999999999,CRISIL AAA,8000.0,2028-02-11,AAA,81.6091,LIC Housing Finance,Corporate Bond,6-7%,95,2.532511978097194,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE020B08DV3,6.92% REC Limited (20/03/2032) **,7983.27,0.279165994144661,6.950000000000001,ICRA AAA,800.0,2032-03-20,AAA,79.8327,REC Limited,Corporate Bond,6-7%,95,6.636550308008213,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE0CCU07082,7.75% Mindspace Business Parks REIT (30/06/2026) **,7875.24,0.275388195307464,6.815,ICRA AAA,7800.0,2026-06-30,AAA,78.7524,Mindspace Business Parks REIT,Corporate Bond,6-7%,95,0.9144421629021219,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NM4,7.38% Power Finance Corporation Limited (15/01/2032) **,7650.22,0.2675194549065069,6.9750000000000005,ICRA AAA,7500.0,2032-01-15,AAA,76.5022,PFC,Corporate Bond,6-7%,95,6.458590006844627,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE667F07IW1,7.65% Sundaram Home Finance Limited (29/10/2029) **,7644.44,0.26731750968703,7.095,ICRA AAA,7500.0,2029-10-29,AAA,76.4444,Sundaram Home Finance Limited,Corporate Bond,7-8%,95,4.246406570841889,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE261F08EK5,7.44% National Bank For Agriculture and Rural Development (24/02/2028),7629.59,0.266797959713284,6.660000000000001,ICRA AAA,7500.0,2028-02-24,AAA,76.2959,NABARD,Corporate Bond,6-7%,95,2.568104038329911,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE031A08939,7.29% Housing & Urban Development Corporation Limited (12/02/2035) **,7616.08,0.2663256177129229,7.0525,ICRA AAA,7500.0,2035-02-12,AAA,76.1608,Housing & Urban Development Corporation Limited,Corporate Bond,7-8%,95,9.535934291581109,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE831R07474,8.0956% Aditya Birla Housing Finance Limited (22/12/2026) **,7606.73,0.265998571363978,6.937500000000001,ICRA AAA,7500.0,2026-12-22,AAA,76.06729999999999,Aditya Birla Housing Finance Limited,Corporate Bond,6-7%,95,1.3935660506502396,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE481G08107,7.22% UltraTech Cement Limited (24/11/2034) **,7579.74,0.26505493642933,7.0525,IND AAA,7500.0,2034-11-24,AAA,75.7974,UltraTech Cement Limited,Corporate Bond,7-8%,95,9.316906228610542,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE018A08BM2,7.20% Larsen & Toubro Limited (22/01/2035),7561.12,0.264403728663146,7.07,CRISIL AAA,7500.0,2035-01-22,AAA,75.6112,Larsen & Toubro Limited,Corporate Bond,7-8%,95,9.478439425051334,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07TL0,7.38% Bajaj Finance Limited (28/06/2030) **,7537.85,0.263589915655305,7.23,CRISIL AAA,7500.0,2030-06-28,AAA,75.3785,Bajaj Finance,Corporate Bond,7-8%,95,4.908966461327857,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE733E08270,6.84% NTPC Limited (09/05/2035) **,7478.76,0.261523780020188,6.875000000000001,ICRA AAA,7500.0,2035-05-09,AAA,74.7876,NTPC Limited,Corporate Bond,6-7%,95,9.77138945927447,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QR5,7.68% LIC Housing Finance Limited (29/05/2034) **,7166.0,0.250586846559738,7.3,CRISIL AAA,7000.0,2034-05-29,AAA,71.66,LIC Housing Finance,Corporate Bond,7-8%,95,8.826830937713895,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE667F07IT7,7.98% Sundaram Home Finance Limited (04/09/2026) **,6828.73,0.2387930359290599,6.815,ICRA AAA,6750.0,2026-09-04,AAA,68.2873,Sundaram Home Finance Limited,Corporate Bond,6-7%,95,1.0951403148528405,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE667F07IK6,8.31% Sundaram Home Finance Limited (20/03/2026) **,6563.27,0.229510164949387,6.510000000000001,ICRA AAA,6500.0,2026-03-20,AAA,65.6327,Sundaram Home Finance Limited,Corporate Bond,6-7%,95,0.6351813826146475,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE219X07306,6.72% India Grid Trust (14/09/2026) **,6494.7,0.227112402043462,6.97,ICRA AAA,650.0,2026-09-14,AAA,64.947,India Grid Trust,Corporate Bond,6-7%,95,1.1225188227241616,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE031A08624,8.52% Housing & Urban Development Corporation Limited (28/11/2028) **,6350.41,0.222066516612765,6.6392999999999995,ICRA AAA,600.0,2028-11-28,AAA,63.5041,Housing & Urban Development Corporation Limited,Corporate Bond,6-7%,95,3.3292265571526354,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE0CCU07074,8.02% Mindspace Business Parks REIT (13/04/2026) **,6055.66,0.211759442423868,6.814999999999999,ICRA AAA,6000.0,2026-04-13,AAA,60.556599999999996,Mindspace Business Parks REIT,Corporate Bond,6-7%,95,0.7008898015058179,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE0NDH07019,7.86% Nexus Select Trust (16/06/2026) **,6033.56,0.2109867003528719,6.488099999999999,ICRA AAA,6000.0,2026-06-16,AAA,60.33560000000001,Nexus Select Trust,Corporate Bond,6-7%,95,0.8761122518822724,ABSLF
