Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date,Coupon,YTC
ABSLF Corporate Bond Fund,ABSLF,INE514E08GF5,7.12% Export Import Bank of India (27/06/2030),10166.64,0.35551590409432,0.06705,ICRA AAA,10000.0,2030-06-27,,
ABSLF Corporate Bond Fund,ABSLF,INE306N07MX0,7.89% Tata Capital Limited (26/07/2027),10159.25,0.355257484151128,0.07,ICRA AAA,1000.0,2027-07-26,,
ABSLF Corporate Bond Fund,ABSLF,INE160A08324,7.34% Punjab National Bank (14/02/2035) **,10149.24,0.354907445770701,0.0711,CRISIL AAA,10000.0,2035-02-14,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NJ0,7.24% Power Finance Corporation Limited (15/01/2035) **,10136.21,0.35445180140537,0.0703,ICRA AAA,10000.0,2035-01-15,,
ABSLF Corporate Bond Fund,ABSLF,INE891K07AF9,7.732% Axis Finance Limited (12/06/2028) **,10132.64,0.354326962542421,0.0719,CRISIL AAA,10000.0,2028-06-12,,
ABSLF Corporate Bond Fund,ABSLF,INE0NDH07043,7.6937% Nexus Select Trust (28/05/2027) **,10112.36,0.353617793875582,0.07055,ICRA AAA,10000.0,2027-05-28,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07TH8,7.55% Bajaj Finance Limited (03/04/2035),10068.04,0.352067973593811,0.0744,ICRA AAA,10000.0,2035-04-03,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NR3,6.64% Power Finance Corporation Limited (15/07/2030) **,9920.92,0.3469233535610019,0.0683,ICRA AAA,10000.0,2030-07-15,,
ABSLF Corporate Bond Fund,ABSLF,INE0KUG08092,6.67% National Bank for Financing Infrastructure and Dev (30/05/2030) **,9906.05,0.346403366476392,0.068975,ICRA AAA,10000.0,2030-05-30,,
ABSLF Corporate Bond Fund,ABSLF,INE053F07CQ9,6.73% Indian Railway Finance Corporation Limited (06/07/2035) **,9808.6,0.342995650175432,0.07,ICRA AAA,1000.0,2035-07-06,,
ABSLF Corporate Bond Fund,ABSLF,INE790Z07053,7.162304% IndInfravit Trust (31/03/2040) **,9506.16,0.332419665382591,0.0686,ICRA AAA,10000.0,2040-03-31,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07TJ4,7.3763% Bajaj Finance Limited (26/06/2028) **,9055.88,0.316673917940006,0.0709,CRISIL AAA,9000.0,2028-06-26,,
ABSLF Corporate Bond Fund,ABSLF,INE01XX07034,7.96% Pipeline Infrastructure Limited (11/03/2029) **,8535.81,0.298487497292133,0.06765,CRISIL AAA,8200.0,2029-03-11,,
ABSLF Corporate Bond Fund,ABSLF,INE071G07843,7.19% ICICI Home Finance Company Limited (22/08/2028) **,8528.14,0.298219534344543,0.070687,CRISIL AAA,8500.0,2028-08-22,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QW5,7.74% LIC Housing Finance Limited (11/02/2028) **,8160.91,0.285377864064646,0.0682,CRISIL AAA,8000.0,2028-02-11,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08DV3,6.92% REC Limited (20/03/2032) **,7983.27,0.279165994144661,0.0695,ICRA AAA,800.0,2032-03-20,,
ABSLF Corporate Bond Fund,ABSLF,INE0CCU07082,7.75% Mindspace Business Parks REIT (30/06/2026) **,7875.24,0.275388195307464,0.06815,ICRA AAA,7800.0,2026-06-30,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NM4,7.38% Power Finance Corporation Limited (15/01/2032) **,7650.22,0.2675194549065069,0.06975,ICRA AAA,7500.0,2032-01-15,,
ABSLF Corporate Bond Fund,ABSLF,INE667F07IW1,7.65% Sundaram Home Finance Limited (29/10/2029) **,7644.44,0.26731750968703,0.07095,ICRA AAA,7500.0,2029-10-29,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EK5,7.44% National Bank For Agriculture and Rural Development (24/02/2028),7629.59,0.266797959713284,0.0666,ICRA AAA,7500.0,2028-02-24,,
ABSLF Corporate Bond Fund,ABSLF,INE031A08939,7.29% Housing & Urban Development Corporation Limited (12/02/2035) **,7616.08,0.2663256177129229,0.070525,ICRA AAA,7500.0,2035-02-12,,
ABSLF Corporate Bond Fund,ABSLF,INE831R07474,8.0956% Aditya Birla Housing Finance Limited (22/12/2026) **,7606.73,0.265998571363978,0.069375,ICRA AAA,7500.0,2026-12-22,,
ABSLF Corporate Bond Fund,ABSLF,INE481G08107,7.22% UltraTech Cement Limited (24/11/2034) **,7579.74,0.26505493642933,0.070525,IND AAA,7500.0,2034-11-24,,
ABSLF Corporate Bond Fund,ABSLF,INE018A08BM2,7.20% Larsen & Toubro Limited (22/01/2035),7561.12,0.264403728663146,0.0707,CRISIL AAA,7500.0,2035-01-22,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07TL0,7.38% Bajaj Finance Limited (28/06/2030) **,7537.85,0.263589915655305,0.0723,CRISIL AAA,7500.0,2030-06-28,,
ABSLF Corporate Bond Fund,ABSLF,INE733E08270,6.84% NTPC Limited (09/05/2035) **,7478.76,0.261523780020188,0.06875,ICRA AAA,7500.0,2035-05-09,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QR5,7.68% LIC Housing Finance Limited (29/05/2034) **,7166.0,0.250586846559738,0.073,CRISIL AAA,7000.0,2034-05-29,,
ABSLF Corporate Bond Fund,ABSLF,INE667F07IT7,7.98% Sundaram Home Finance Limited (04/09/2026) **,6828.73,0.2387930359290599,0.06815,ICRA AAA,6750.0,2026-09-04,,
ABSLF Corporate Bond Fund,ABSLF,INE667F07IK6,8.31% Sundaram Home Finance Limited (20/03/2026) **,6563.27,0.229510164949387,0.0651,ICRA AAA,6500.0,2026-03-20,,
ABSLF Corporate Bond Fund,ABSLF,INE219X07306,6.72% India Grid Trust (14/09/2026) **,6494.7,0.227112402043462,0.0697,ICRA AAA,650.0,2026-09-14,,
ABSLF Corporate Bond Fund,ABSLF,INE031A08624,8.52% Housing & Urban Development Corporation Limited (28/11/2028) **,6350.41,0.222066516612765,0.066393,ICRA AAA,600.0,2028-11-28,,
ABSLF Corporate Bond Fund,ABSLF,INE0CCU07074,8.02% Mindspace Business Parks REIT (13/04/2026) **,6055.66,0.211759442423868,0.0681499999999999,ICRA AAA,6000.0,2026-04-13,,
ABSLF Corporate Bond Fund,ABSLF,INE0NDH07019,7.86% Nexus Select Trust (16/06/2026) **,6033.56,0.2109867003528719,0.064881,ICRA AAA,6000.0,2026-06-16,,
ABSLF Corporate Bond Fund,ABSLF,INE860H07IY4,8.33% Aditya Birla Finance Limited (19/05/2027) **,5595.55,0.195670108357218,0.072449,ICRA AAA,5500.0,2027-05-19,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07017,8.46% DME Development Limited (16/03/2037) (FRN) **,5520.24,0.1930366832481589,0.090919,CRISIL AAA,515.0,2037-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07108,8.46% DME Development Limited (16/03/2036) (FRN) **,5478.25,0.191568051938392,0.090626,CRISIL AAA,515.0,2036-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07082,8.46% DME Development Limited (16/03/2034) (FRN) **,5454.59,0.190740719965729,0.088829,CRISIL AAA,515.0,2034-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07090,8.46% DME Development Limited (16/03/2035) (FRN) **,5450.51,0.19059826903182,0.089657,CRISIL AAA,515.0,2035-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07074,8.46% DME Development Limited (16/03/2033) (FRN) **,5444.59,0.190390985814464,0.088292,CARE AAA,515.0,2033-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07066,8.46% DME Development Limited (16/03/2032) (FRN) **,5435.33,0.190067184576578,0.0859544999999999,CRISIL AAA,515.0,2032-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07058,8.46% DME Development Limited (15/03/2031) (FRN) **,5427.56,0.189795789434479,0.084051,CRISIL AAA,515.0,2031-03-15,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07025,8.46% DME Development Limited (16/03/2028) (FRN) **,5408.63,0.189133779784607,0.070832,CRISIL AAA,515.0,2028-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07033,8.46% DME Development Limited (16/03/2029) (FRN) **,5408.39,0.189125315569824,0.077742,CRISIL AAA,515.0,2029-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE0J7Q07041,8.46% DME Development Limited (16/03/2030) (FRN) **,5407.98,0.1891110884854,0.0818359999999999,CRISIL AAA,515.0,2030-03-16,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08BC7,8.70% REC Limited (28/09/2028) **,5299.81,0.185328362534537,0.066695,CRISIL AAA,500.0,2028-09-28,,
ABSLF Corporate Bond Fund,ABSLF,INE01XX07042,7.96% Pipeline Infrastructure Limited (11/03/2028) **,5149.51,0.1800725414977559,0.06745,CRISIL AAA,5000.0,2028-03-11,,
ABSLF Corporate Bond Fund,ABSLF,INE053F07BW9,7.50% Indian Railway Finance Corporation Limited (09/09/2029) **,5148.03,0.180020612727033,0.0665,CRISIL AAA,500.0,2029-09-09,,
ABSLF Corporate Bond Fund,ABSLF,INE831R07482,8.049% Aditya Birla Housing Finance Limited (03/12/2027) **,5095.5,0.178183698029348,0.07105,ICRA AAA,5000.0,2027-12-03,,
ABSLF Corporate Bond Fund,ABSLF,INE916DA7SO7,8.225% Kotak Mahindra Prime Limited (21/04/2027) **,5093.37,0.178109214338008,0.07,ICRA AAA,5000.0,2027-04-21,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KT6,7.44% Small Industries Development Bank of India (10/04/2028) **,5093.13,0.178100996653752,0.066645,CRISIL AAA,5000.0,2028-04-10,,
ABSLF Corporate Bond Fund,ABSLF,INE507T07112,8.19% Summit Digitel Infrastructure Private Limited (01/11/2026) **,5091.61,0.178047843972609,0.068202,CRISIL AAA,5000.0,2026-11-01,,
ABSLF Corporate Bond Fund,ABSLF,INE916DA7SP4,8.23% Kotak Mahindra Prime Limited (21/12/2026) **,5088.94,0.17795430224757,0.06795,CRISIL AAA,5000.0,2026-12-21,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08MK0,7.70% Power Finance Corporation Limited (15/09/2026) **,5064.81,0.1771106782787579,0.064688,ICRA AAA,5000.0,2026-09-15,,
ABSLF Corporate Bond Fund,ABSLF,INE752E08767,7.08% Power Grid Corporation of India Limited (25/10/2034) **,5062.93,0.177044761960366,0.06885,ICRA AAA,5000.0,2034-10-25,,
ABSLF Corporate Bond Fund,ABSLF,INE267A08020,7.75% Hindustan Zinc Limited (21/03/2026) **,5026.6,0.175774342943292,0.066874,CRISIL AAA,5000.0,2026-03-21,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08GA0,7.06% REC Limited (30/06/2035),5012.71,0.175288800194818,0.0702,ICRA AAA,5000.0,2035-06-30,,
ABSLF Corporate Bond Fund,ABSLF,INE282H07018,7.19% Jio Credit Ltd (15/03/2028) **,5010.03,0.1751949087810869,0.071,CRISIL AAA,5000.0,2028-03-15,,
ABSLF Corporate Bond Fund,ABSLF,INE053F08494,6.78% Indian Railway Finance Corporation Limited (30/04/2030) **,5006.96,0.17508772919707,0.067375,ICRA AAA,5000.0,2030-04-30,,
ABSLF Corporate Bond Fund,ABSLF,INE733E08288,6.89% NTPC Limited (18/06/2035) **,5004.05,0.174985794943429,0.06875,ICRA AAA,5000.0,2035-06-18,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FY2,6.70% REC Limited (31/12/2029) **,4996.04,0.174705694301349,0.067287,ICRA AAA,5000.0,2029-12-31,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NS1,6.61% Power Finance Corporation Limited (15/07/2028) **,4989.03,0.174460737372789,0.0669,ICRA AAA,5000.0,2028-07-15,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FS4,7.02% REC Limited (30/04/2040) **,4987.85,0.174419474107164,0.0704,ICRA AAA,5000.0,2040-04-30,,
ABSLF Corporate Bond Fund,ABSLF,INE667F07IV3,7.90% Sundaram Home Finance Limited (24/09/2027) **,4575.53,0.160001040031798,0.070138,ICRA AAA,4500.0,2027-09-24,,
ABSLF Corporate Bond Fund,ABSLF,INE028A08364,7.41% Bank of Baroda (28/11/2039) **,4549.45,0.1590889819860139,0.072774,CRISIL AAA,45.0,2039-11-28,,
ABSLF Corporate Bond Fund,ABSLF,INE377Y07359,7.89% Bajaj Housing Finance Limited (08/09/2032) **,4136.2,0.144638236675532,0.07255,CRISIL AAA,400.0,2032-09-08,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08MQ7,7.57% Power Finance Corporation Limited (12/07/2033) **,4134.92,0.144593336647513,0.07,ICRA AAA,4000.0,2033-07-12,,
ABSLF Corporate Bond Fund,ABSLF,INE507T07146,7.87% Summit Digitel Infrastructure Private Limited (15/03/2030) **,3854.57,0.134789910339106,0.07335,ICRA AAA,3750.0,2030-03-15,,
ABSLF Corporate Bond Fund,ABSLF,INE976I07CX1,8.01% Tata Capital Limited (21/07/2034) **,3620.22,0.1265949296216379,0.0747,ICRA AAA,3500.0,2034-07-21,,
ABSLF Corporate Bond Fund,ABSLF,INE733E08262,7.26% NTPC Limited (20/03/2040) **,3583.32,0.125304683255743,0.069887,ICRA AAA,3500.0,2040-03-20,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08BE4,8.62% National Bank For Agriculture and Rural Development (14/03/2034) **,3300.61,0.115418669220565,0.0702,CRISIL AAA,300.0,2034-03-14,,
ABSLF Corporate Bond Fund,ABSLF,INE377Y07367,7.84% Bajaj Housing Finance Limited (23/09/2032) **,3094.22,0.108201304436364,0.07255,CRISIL AAA,300.0,2032-09-23,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08MC7,7.77% Power Finance Corporation Limited (15/07/2026),3035.06,0.106132546136059,0.0646,ICRA AAA,3000.0,2026-07-15,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EJ7,7.64% National Bank For Agriculture and Rural Development (06/12/2029) **,2578.2,0.090156825925354,0.0677,ICRA AAA,2500.0,2029-12-06,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EG3,7.68% National Bank For Agriculture and Rural Development (30/04/2029),2571.92,0.0899371340047709,0.0677,CRISIL AAA,2500.0,2029-04-30,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EH1,7.62% National Bank For Agriculture and Rural Development (10/05/2029) **,2567.64,0.089787467244708,0.0677,CRISIL AAA,2500.0,2029-05-10,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KU4,7.51% Small Industries Development Bank of India (12/06/2028) **,2553.44,0.089290909302444,0.066645,CRISIL AAA,2500.0,2028-06-12,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FF1,7.56% REC Limited (31/08/2027) **,2546.95,0.089063961341508,0.065562,ICRA AAA,2500.0,2027-08-31,,
ABSLF Corporate Bond Fund,ABSLF,INE756I07ER5,8.3774% HDB Financial Services Limited (24/04/2026) **,2524.7,0.088285904002397,0.068,CRISIL AAA,2500.0,2026-04-24,,
ABSLF Corporate Bond Fund,ABSLF,INE267A08038,7.75% Hindustan Zinc Limited (20/03/2027) **,2523.38,0.088239570250742,0.070825,CRISIL AAA,2500.0,2027-03-20,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08IO0,7.23% Power Finance Corporation Limited (05/01/2027) **,2521.15,0.088161764516831,0.06555,ICRA AAA,250.0,2027-01-05,,
ABSLF Corporate Bond Fund,ABSLF,INE053F08122,6.92% Indian Railway Finance Corporation Limited (29/08/2031),2511.82,0.087835330123096,0.0682,ICRA AAA,250.0,2031-08-29,,
ABSLF Corporate Bond Fund,ABSLF,INE752E08783,6.94% Power Grid Corporation of India Limited (15/04/2035) **,2506.22,0.08763967930007,0.06897,ICRA AAA,2500.0,2035-04-15,,
